# dimension of H = 6
# flow parameter s, norm of off-diagonal elements of H, vectorized elements of H (N*N elements)
1.0101	0.0130865	1.41678	-0.00427841	-6.03895e-08	-6.03895e-08	-6.45959e-11	-4.24369e-14	-0.00427841	3.47068	-0.00369251	-0.00369251	6.76131e-08	6.52962e-11	-6.03895e-08	-0.00369251	5.5	2.31484e-07	-0.00377414	-6.91222e-08	-6.03895e-08	-0.00369251	2.31484e-07	5.5	-0.00377414	-6.91222e-08	-6.45959e-11	6.76131e-08	-0.00377414	-0.00377414	7.54943	-0.00340088	-4.24369e-14	6.52962e-11	-6.91222e-08	-6.91222e-08	-0.00340088	9.56311	
1.1111	0.0085988	1.41678	-0.00279411	-2.26296e-08	-2.26296e-08	-1.61551e-11	-6.93348e-15	-0.00279411	3.47068	-0.00243604	-0.00243604	2.91271e-08	1.66984e-11	-2.26296e-08	-0.00243604	5.5	5.10472e-08	-0.00246935	-2.67045e-08	-2.26296e-08	-0.00243604	5.10472e-08	5.5	-0.00246935	-2.67045e-08	-1.61551e-11	2.91271e-08	-0.00246935	-0.00246935	7.54943	-0.00225802	-6.93348e-15	1.66984e-11	-2.67045e-08	-2.67045e-08	-0.00225802	9.56311	
1.2121	0.00565042	1.41678	-0.00182475	-9.12076e-09	-9.12076e-09	-4.30466e-12	-1.21604e-15	-0.00182475	3.47067	-0.00160711	-0.00160711	1.25623e-08	4.53511e-12	-9.12076e-09	-0.00160711	5.5	9.39148e-10	-0.00161565	-1.09742e-08	-9.12076e-09	-0.00160711	9.39148e-10	5.5	-0.00161565	-1.09742e-08	-4.30466e-12	1.25623e-08	-0.00161565	-0.00161565	7.54944	-0.00149922	-1.21604e-15	4.53511e-12	-1.09742e-08	-1.09742e-08	-0.00149922	9.56311	
1.3131	0.00371325	1.41677	-0.0011917	-3.81285e-09	-3.81285e-09	-1.18318e-12	-2.2099e-16	-0.0011917	3.47067	-0.00106025	-0.00106025	5.42063e-09	1.26857e-12	-3.81285e-09	-0.00106025	5.5	-8.70038e-09	-0.00105709	-4.64919e-09	-3.81285e-09	-0.00106025	-8.70038e-09	5.5	-0.00105709	-4.64919e-09	-1.18318e-12	5.42063e-09	-0.00105709	-0.00105709	7.54944	-0.000995409	-2.2099e-16	1.26857e-12	-4.64919e-09	-4.64919e-09	-0.000995409	9.56312	
1.4141	0.00244038	1.41677	-0.000778262	-1.62107e-09	-1.62107e-09	-3.29856e-13	-4.08266e-17	-0.000778262	3.47067	-0.000699471	-0.000699471	2.33945e-09	3.59688e-13	-1.62107e-09	-0.000699471	5.5	-7.68621e-09	-0.000691632	-1.99738e-09	-1.62107e-09	-0.000699471	-7.68621e-09	5.5	-0.000691632	-1.99738e-09	-3.29856e-13	2.33945e-09	-0.000691632	-0.000691632	7.54944	-0.000660904	-4.08266e-17	3.59688e-13	-1.99738e-09	-1.99738e-09	-0.000660904	9.56312	
1.5152	0.00160328	1.41677	-0.000508047	-6.93823e-10	-6.93823e-10	-9.24219e-14	-7.58535e-18	-0.000508047	3.47067	-0.000461267	-0.000461267	1.00891e-09	1.02475e-13	-6.93823e-10	-0.000461267	5.5	-5.01212e-09	-0.000452331	-8.62769e-10	-6.93823e-10	-0.000461267	-5.01212e-09	5.5	-0.000452331	-8.62769e-10	-9.24219e-14	1.00891e-09	-0.000452331	-0.000452331	7.54944	-0.000438631	-7.58535e-18	1.02475e-13	-8.62769e-10	-8.62769e-10	-0.000438631	9.56312	
1.6162	0.00105383	1.41677	-0.000331791	-2.98185e-10	-2.98185e-10	-2.59991e-14	-1.41621e-18	-0.000331791	3.47067	-0.000304309	-0.000304309	4.3548e-10	2.93085e-14	-2.98185e-10	-0.000304309	5.5	-2.89545e-09	-0.000295952	-3.74005e-10	-2.98185e-10	-0.000304309	-2.89545e-09	5.5	-0.000295952	-3.74005e-10	-2.59991e-14	4.3548e-10	-0.000295952	-0.000295952	7.54944	-0.00029123	-1.41621e-18	2.93085e-14	-3.74005e-10	-3.74005e-10	-0.00029123	9.56312	
1.7172	0.000692732	1.41677	-0.000216683	-1.28333e-10	-1.28333e-10	-7.32242e-15	-2.64781e-19	-0.000216683	3.47067	-0.000200759	-0.000200759	1.8797e-10	8.3921e-15	-1.28333e-10	-0.000200759	5.5	-1.56585e-09	-0.000193635	-1.62323e-10	-1.28333e-10	-0.000200759	-1.56585e-09	5.5	-0.000193635	-1.62323e-10	-7.32242e-15	1.8797e-10	-0.000193635	-0.000193635	7.54944	-0.000193363	-2.64781e-19	8.3921e-15	-1.62323e-10	-1.62323e-10	-0.000193363	9.56312	
1.8182	0.000455396	1.41677	-0.00014151	-5.52661e-11	-5.52661e-11	-2.06335e-15	-4.95346e-20	-0.00014151	3.47067	-0.000132446	-0.000132446	8.11359e-11	2.40417e-15	-5.52661e-11	-0.000132446	5.5	-8.12357e-10	-0.000126692	-7.04866e-11	-5.52661e-11	-0.000132446	-8.12357e-10	5.5	-0.000126692	-7.04866e-11	-2.06335e-15	8.11359e-11	-0.000126692	-0.000126692	7.54944	-0.000128384	-4.95346e-20	2.40417e-15	-7.04866e-11	-7.04866e-11	-0.000128384	9.56312	
1.9192	0.000299394	1.41677	-9.24159e-05	-2.38064e-11	-2.38064e-11	-5.8155e-16	-9.26925e-21	-9.24159e-05	3.47067	-8.73775e-05	-8.73775e-05	3.50217e-11	6.88899e-16	-2.38064e-11	-8.73775e-05	5.5	-4.09577e-10	-8.2892e-05	-3.06149e-11	-2.38064e-11	-8.73775e-05	-4.09577e-10	5.5	-8.2892e-05	-3.06149e-11	-5.8155e-16	3.50217e-11	-8.2892e-05	-8.2892e-05	7.54944	-8.52405e-05	-9.26925e-21	6.88899e-16	-3.06149e-11	-3.06149e-11	-8.52405e-05	9.56312	
2.0202	0.000196847	1.41677	-6.03542e-05	-1.0256e-11	-1.0256e-11	-1.63924e-16	-1.73472e-21	-6.03542e-05	3.47067	-5.7645e-05	-5.7645e-05	1.51169e-11	1.97418e-16	-1.0256e-11	-5.7645e-05	5.5	-2.02238e-10	-5.42346e-05	-1.32984e-11	-1.0256e-11	-5.7645e-05	-2.02238e-10	5.5	-5.42346e-05	-1.32984e-11	-1.63924e-16	1.51169e-11	-5.42346e-05	-5.42346e-05	7.54944	-5.65956e-05	-1.73472e-21	1.97418e-16	-1.32984e-11	-1.32984e-11	-5.65956e-05	9.56312	
2.1212	0.000129433	1.41677	-3.94156e-05	-4.41861e-12	-4.41861e-12	-4.62078e-17	-3.24666e-22	-3.94156e-05	3.47067	-3.80297e-05	-3.80297e-05	6.52512e-12	5.65764e-17	-4.41861e-12	-3.80297e-05	5.5	-9.8284e-11	-3.54846e-05	-5.77679e-12	-4.41861e-12	-3.80297e-05	-9.8284e-11	5.5	-3.54846e-05	-5.77679e-12	-4.62078e-17	6.52512e-12	-3.54846e-05	-3.54846e-05	7.54944	-3.75768e-05	-3.24666e-22	5.65764e-17	-5.77679e-12	-5.77679e-12	-3.75768e-05	9.56312	
2.2222	8.51122e-05	1.41677	-2.57412e-05	-1.90371e-12	-1.90371e-12	-1.30255e-17	-6.07649e-23	-2.57412e-05	3.47067	-2.50891e-05	-2.50891e-05	2.81653e-12	1.62141e-17	-1.90371e-12	-2.50891e-05	5.5	-4.7169e-11	-2.32169e-05	-2.50946e-12	-1.90371e-12	-2.50891e-05	-4.7169e-11	5.5	-2.32169e-05	-2.50946e-12	-1.30255e-17	2.81653e-12	-2.32169e-05	-2.32169e-05	7.54944	-2.49492e-05	-6.07649e-23	1.62141e-17	-2.50946e-12	-2.50946e-12	-2.49492e-05	9.56312	
2.3232	5.59719e-05	1.41677	-1.68109e-05	-8.20202e-13	-8.20202e-13	-3.67181e-18	-1.1373e-23	-1.68109e-05	3.47067	-1.65519e-05	-1.65519e-05	1.21574e-12	4.64678e-18	-8.20202e-13	-1.65519e-05	5.5	-2.24089e-11	-1.51904e-05	-1.09013e-12	-8.20202e-13	-1.65519e-05	-2.24089e-11	5.5	-1.51904e-05	-1.09013e-12	-3.67181e-18	1.21574e-12	-1.51904e-05	-1.51904e-05	7.54944	-1.65651e-05	-1.1373e-23	4.64678e-18	-1.09013e-12	-1.09013e-12	-1.65651e-05	9.56312	
2.4242	3.68112e-05	1.41677	-1.09787e-05	-3.5338e-13	-3.5338e-13	-1.03506e-18	-2.12861e-24	-1.09787e-05	3.47067	-1.09196e-05	-1.09196e-05	5.24766e-13	1.33172e-18	-3.5338e-13	-1.09196e-05	5.5	-1.05567e-11	-9.93875e-06	-4.73564e-13	-3.5338e-13	-1.09196e-05	-1.05567e-11	5.5	-9.93875e-06	-4.73564e-13	-1.03506e-18	5.24766e-13	-9.93875e-06	-9.93875e-06	7.54944	-1.09984e-05	-2.12861e-24	1.33172e-18	-4.73564e-13	-4.73564e-13	-1.09984e-05	9.56312	
2.5253	2.42014e-05	1.41677	-7.16685e-06	-1.52125e-13	-1.52125e-13	-2.91411e-19	-3.97738e-25	-7.16685e-06	3.47067	-7.20098e-06	-7.20098e-06	2.26324e-13	3.81187e-19	-1.52125e-13	-7.20098e-06	5.5	-4.9339e-12	-6.5e-06	-2.05551e-13	-1.52125e-13	-7.20098e-06	-4.9339e-12	5.5	-6.5e-06	-2.05551e-13	-2.91411e-19	2.26324e-13	-6.5e-06	-6.5e-06	7.54944	-7.29946e-06	-3.97738e-25	3.81187e-19	-2.05551e-13	-2.05551e-13	-7.29946e-06	9.56312	
2.6263	1.59189e-05	1.41677	-4.68046e-06	-6.55427e-14	-6.55427e-14	-8.21472e-20	-7.44424e-26	-4.68046e-06	3.47067	-4.75065e-06	-4.75065e-06	9.76912e-14	1.09245e-19	-6.55427e-14	-4.75065e-06	5.5	-2.29314e-12	-4.25282e-06	-8.92937e-14	-6.55427e-14	-4.75065e-06	-2.29314e-12	5.5	-4.25282e-06	-8.92937e-14	-8.21472e-20	9.76912e-14	-4.25282e-06	-4.25282e-06	7.54944	-4.84649e-06	-7.44424e-26	1.09245e-19	-8.92937e-14	-8.92937e-14	-4.84649e-06	9.56312	
