# delta = 1.000, g = 0.500, generator = white          
# ====================================================================================
#    s              E            dE/ds        ||eta2B||      ||fod||       ||Gammaod||    
# ====================================================================================

0.00000000     1.50000000     -0.14583333    0.44876373     0.00000000     1.41421356     
0.06200000     1.49154345     -0.13144917    0.42623027     0.00000000     1.34134568     
0.12500000     1.48368332     -0.11810971    0.40416307     0.00000000     1.27134671     
0.18700000     1.47672639     -0.10632749    0.38357752     0.00000000     1.20619389     
0.25000000     1.47036712     -0.09557763    0.36374760     0.00000000     1.14355470     
0.31200000     1.46473634     -0.08607540    0.34524571     0.00000000     1.08520875     
0.37500000     1.45958744     -0.07739973    0.32742001     0.00000000     1.02907613     
0.43700000     1.45502689     -0.06972614    0.31078562     0.00000000     0.97675905     
0.50000000     1.45085540     -0.06271607    0.29475696     0.00000000     0.92639903     
0.56200000     1.44715958     -0.05651250    0.27979761     0.00000000     0.87943896     
0.62500000     1.44377824     -0.05084269    0.26538131     0.00000000     0.83421539     
0.68700000     1.44078181     -0.04582308    0.25192530     0.00000000     0.79202800     
0.75000000     1.43803979     -0.04123361    0.23895644     0.00000000     0.75138589     
0.81200000     1.43560947     -0.03716904    0.22685030     0.00000000     0.71345996     
0.87500000     1.43338513     -0.03345159    0.21518141     0.00000000     0.67691242     
0.93700000     1.43141334     -0.03015837    0.20428786     0.00000000     0.64279835     
1.00000000     1.42960843     -0.02714562    0.19378694     0.00000000     0.60991624     
1.06300000     1.42798379     -0.02443523    0.18382904     0.00000000     0.57873477     
1.12500000     1.42654335     -0.02203332    0.17453179     0.00000000     0.54962047     
1.18800000     1.42522461     -0.01983531    0.16556871     0.00000000     0.52154977     
1.25000000     1.42405528     -0.01788713    0.15719976     0.00000000     0.49533589     
1.31300000     1.42298465     -0.01610403    0.14913114     0.00000000     0.47005806     
1.37500000     1.42203526     -0.01452338    0.14159694     0.00000000     0.44644928     
1.43800000     1.42116594     -0.01307648    0.13433274     0.00000000     0.42368092     
1.50000000     1.42039501     -0.01179370    0.12754933     0.00000000     0.40241372     
1.56300000     1.41968906     -0.01061934    0.12100871     0.00000000     0.38190167     
1.62500000     1.41906297     -0.00957807    0.11490072     0.00000000     0.36274043     
1.68800000     1.41848963     -0.00862473    0.10901109     0.00000000     0.34425819     
1.75000000     1.41798113     -0.00777937    0.10351081     0.00000000     0.32699191     
1.81300000     1.41751546     -0.00700533    0.09820697     0.00000000     0.31033648     
1.87500000     1.41710243     -0.00631892    0.09325357     0.00000000     0.29477599     
1.93800000     1.41672417     -0.00569037    0.08847691     0.00000000     0.27976527     
2.00000000     1.41638866     -0.00513295    0.08401572     0.00000000     0.26574075     
2.06300000     1.41608139     -0.00462250    0.07971358     0.00000000     0.25221122     
2.12500000     1.41580884     -0.00416979    0.07569545     0.00000000     0.23957014     
2.18800000     1.41555923     -0.00375521    0.07182046     0.00000000     0.22737484     
2.25000000     1.41533781     -0.00338750    0.06820118     0.00000000     0.21598006     
2.31300000     1.41513503     -0.00305076    0.06471075     0.00000000     0.20498684     
2.37500000     1.41495515     -0.00275208    0.06145058     0.00000000     0.19471501     
2.43800000     1.41479040     -0.00247854    0.05830639     0.00000000     0.18480497     
2.50000000     1.41464426     -0.00223592    0.05536956     0.00000000     0.17554509     
2.89500000     1.41399610     -0.00116004    0.03984094     0.00000000     0.12652224     
3.28900000     1.41366040     -0.00060295    0.02869669     0.00000000     0.09126590     
3.68400000     1.41348560     -0.00031290    0.02065569     0.00000000     0.06577832     
4.07900000     1.41339488     -0.00016239    0.01486974     0.00000000     0.04740726     
4.47400000     1.41334780     -0.00008428    0.01070568     0.00000000     0.03416591     
4.86800000     1.41332341     -0.00004382    0.00771483     0.00000000     0.02464264     
5.26300000     1.41331070     -0.00002274    0.00555535     0.00000000     0.01775857     
5.65800000     1.41330411     -0.00001180    0.00400061     0.00000000     0.01279724     
6.05300000     1.41330068     -0.00000613    0.00288116     0.00000000     0.00922175     
6.44700000     1.41329891     -0.00000319    0.00207678     0.00000000     0.00665059     
6.84200000     1.41329799     -0.00000165    0.00149579     0.00000000     0.00479223     
7.23700000     1.41329751     -0.00000086    0.00107738     0.00000000     0.00345308     
