# delta = 1.000, g = 0.500, generator = white          
# ===================================================================================================
#    s              E            dE/ds        ||eta2B||      ||fod||       ||Gammaod||    ||Omega2B||    
# ===================================================================================================

0.00000000     1.50000000     -0.14583333    0.44876373     0.00000000     1.41421356     0.00000000     
0.50000000     1.44256638     -0.08415115    0.44876373     0.00000000     0.81746506     0.22438187     
1.00000000     1.42328496     -0.02838645    0.25987771     0.00000000     0.47693912     0.35431637     
1.50000000     1.41673382     -0.00966278    0.15103086     0.00000000     0.27906991     0.42982050     
2.00000000     1.41449815     -0.00330058    0.08797322     0.00000000     0.16341390     0.47379280     
2.50000000     1.41373403     -0.00112891    0.05131790     0.00000000     0.09569592     0.49943855     
3.00000000     1.41347278     -0.00038633    0.02996351     0.00000000     0.05603295     0.51440998     
3.50000000     1.41338350     -0.00013223    0.01750581     0.00000000     0.03280396     0.52315556     
4.00000000     1.41335302     -0.00004526    0.01023177     0.00000000     0.01920212     0.52826654     
4.50000000     1.41334264     -0.00001549    0.00598195     0.00000000     0.01123891     0.53125437     
5.00000000     1.41333911     -0.00000530    0.00349802     0.00000000     0.00657752     0.53300141     
5.50000000     1.41333792     -0.00000182    0.00204580     0.00000000     0.00384921     0.53402310     
6.00000000     1.41333752     -0.00000062    0.00119660     0.00000000     0.00225247     0.53462066     
6.50000000     1.41333739     -0.00000021    0.00069995     0.00000000     0.00131805     0.53497020     
7.00000000     1.41333735     -0.00000007    0.00040946     0.00000000     0.00077124     0.53517467     
7.50000000     1.41333734     -0.00000002    0.00023954     0.00000000     0.00045127     0.53529428     
8.00000000     1.41333734     -0.00000001    0.00014013     0.00000000     0.00026405     0.53536425     
8.50000000     1.41333734     -0.00000000    0.00008198     0.00000000     0.00015450     0.53540519     
9.00000000     1.41333734     -0.00000000    0.00004796     0.00000000     0.00009040     0.53542914     
9.50000000     1.41333734     -0.00000000    0.00002806     0.00000000     0.00005289     0.53544315     
