# delta = 1.000, g = 0.500
# =================================================================================================================
#    s          ||Hod||        diagonal elements of H
# =================================================================================================================

0.00000000     1.22474487     1.50000000     3.50000000     5.50000000     5.50000000     7.50000000     9.50000000     
0.00100000     1.22474487     1.50000000     3.50000000     5.50000000     5.50000000     7.50000000     9.50000000     
0.00200000     1.20849259     1.49802026     3.49901451     5.50000124     5.50000124     7.50098650     9.50197625     
0.00300000     1.19275918     1.49611846     3.49808460     5.50000726     5.50000726     7.50192129     9.50386113     
0.00400000     1.17752363     1.49429062     3.49720660     5.50001762     5.50001762     7.50280782     9.50565972     
0.00500000     1.16276566     1.49253299     3.49637707     5.50003192     5.50003192     7.50364931     9.50737679     
0.00600000     1.14846574     1.49084204     3.49559282     5.50004978     5.50004978     7.50444876     9.50901683     
0.00700000     1.13460510     1.48921443     3.49485088     5.50007084     5.50007084     7.50520897     9.51058404     
0.00800000     1.12116567     1.48764703     3.49414845     5.50009477     5.50009477     7.50593257     9.51208240     
0.00900000     1.10813011     1.48613686     3.49348295     5.50012127     5.50012127     7.50662199     9.51351565     
0.01000000     1.09548176     1.48468113     3.49285197     5.50015005     5.50015005     7.50727952     9.51488727     
0.01100000     1.08320465     1.48327721     3.49225327     5.50018083     5.50018083     7.50790727     9.51620058     
0.01200000     1.07128345     1.48192261     3.49168473     5.50021337     5.50021337     7.50850724     9.51745868     
0.01300000     1.05970348     1.48061497     3.49114443     5.50024743     5.50024743     7.50908126     9.51866448     
0.01400000     1.04845067     1.47935208     3.49063053     5.50028280     5.50028280     7.50963105     9.51982073     
0.01500000     1.03751156     1.47813184     3.49014135     5.50031928     5.50031928     7.51015823     9.52093002     
0.01600000     1.02687327     1.47695228     3.48967532     5.50035667     5.50035667     7.51066429     9.52199477     
0.01700000     1.01652347     1.47581153     3.48923095     5.50039482     5.50039482     7.51115061     9.52301727     
0.01800000     1.00645037     1.47470781     3.48880690     5.50043355     5.50043355     7.51161850     9.52399968     
