# delta = 1.000, g = 0.500, generator = white          
# ===================================================================================================
#    s              E            dE/ds        ||eta2B||      ||fod||       ||Gammaod||    ||Omega2B||    
# ===================================================================================================

0.35000000     1.46150090     -0.08066362    0.33438085     0.00000000     1.05098809     0.13605927     
0.35500000     1.46109944     -0.07998650    0.33297708     0.00000000     1.04656857     0.13772695     
0.36000000     1.46070136     -0.07931514    0.33157926     0.00000000     1.04216828     0.13938764     
0.36500000     1.46030662     -0.07864950    0.33018737     0.00000000     1.03778710     0.14104135     
0.37000000     1.45991519     -0.07798951    0.32880140     0.00000000     1.03342497     0.14268813     
0.37500000     1.45952704     -0.07733513    0.32742130     0.00000000     1.02908177     0.14432799     
0.38000000     1.45914215     -0.07668632    0.32604707     0.00000000     1.02475743     0.14596097     
0.38500000     1.45876049     -0.07604302    0.32467866     0.00000000     1.02045186     0.14758709     
0.39000000     1.45838203     -0.07540519    0.32331606     0.00000000     1.01616496     0.14920639     
0.39500000     1.45800675     -0.07477277    0.32195924     0.00000000     1.01189665     0.15081889     
0.40000000     1.45763461     -0.07414573    0.32060817     0.00000000     1.00764684     0.15242463     
0.40500000     1.45726559     -0.07352401    0.31926284     0.00000000     1.00341545     0.15402363     
0.41000000     1.45689967     -0.07290757    0.31792321     0.00000000     0.99920237     0.15561591     
0.41500000     1.45653681     -0.07229636    0.31658926     0.00000000     0.99500754     0.15720152     
0.42000000     1.45617700     -0.07169034    0.31526097     0.00000000     0.99083087     0.15878048     
0.42500000     1.45582020     -0.07108946    0.31393831     0.00000000     0.98667226     0.16035281     
0.43000000     1.45546640     -0.07049368    0.31262126     0.00000000     0.98253163     0.16191854     
0.43500000     1.45511555     -0.06990295    0.31130979     0.00000000     0.97840891     0.16347770     
0.44000000     1.45476765     -0.06931723    0.31000387     0.00000000     0.97430400     0.16503033     
0.44500000     1.45442267     -0.06873648    0.30870350     0.00000000     0.97021682     0.16657644     
0.45000000     1.45408057     -0.06816065    0.30740863     0.00000000     0.96614729     0.16811606     
0.45500000     1.45374134     -0.06758970    0.30611925     0.00000000     0.96209533     0.16964923     
0.46000000     1.45340495     -0.06702358    0.30483533     0.00000000     0.95806085     0.17117597     
0.46500000     1.45307138     -0.06646227    0.30355685     0.00000000     0.95404378     0.17269630     
0.47000000     1.45274060     -0.06590571    0.30228379     0.00000000     0.95004403     0.17421026     
0.47500000     1.45241259     -0.06535386    0.30101612     0.00000000     0.94606152     0.17571786     
0.48000000     1.45208733     -0.06480668    0.29975382     0.00000000     0.94209617     0.17721915     
0.48500000     1.45176479     -0.06426414    0.29849687     0.00000000     0.93814790     0.17871414     
0.49000000     1.45144495     -0.06372619    0.29724524     0.00000000     0.93421663     0.18020286     
0.49500000     1.45112779     -0.06319279    0.29599890     0.00000000     0.93030229     0.18168534     
0.50000000     1.45081328     -0.06266390    0.29475785     0.00000000     0.92640479     0.18316160     
0.50500000     1.45050140     -0.06213949    0.29352205     0.00000000     0.92252406     0.18463167     
0.51000000     1.45019214     -0.06161951    0.29229148     0.00000000     0.91866001     0.18609558     
0.51500000     1.44988546     -0.06110393    0.29106611     0.00000000     0.91481258     0.18755335     
0.52000000     1.44958135     -0.06059271    0.28984594     0.00000000     0.91098169     0.18900501     
0.52500000     1.44927978     -0.06008582    0.28863093     0.00000000     0.90716725     0.19045059     
0.53000000     1.44898074     -0.05958320    0.28742106     0.00000000     0.90336919     0.19189010     
0.53500000     1.44868419     -0.05908484    0.28621630     0.00000000     0.89958745     0.19332358     
0.54000000     1.44839013     -0.05859068    0.28501665     0.00000000     0.89582193     0.19475106     
0.54500000     1.44809853     -0.05810071    0.28382207     0.00000000     0.89207257     0.19617254     
0.55000000     1.44780936     -0.05761486    0.28263255     0.00000000     0.88833930     0.19758808     
0.55500000     1.44752261     -0.05713313    0.28144805     0.00000000     0.88462204     0.19899767     
0.56000000     1.44723826     -0.05665546    0.28026857     0.00000000     0.88092071     0.20040136     
0.56500000     1.44695629     -0.05618182    0.27909407     0.00000000     0.87723524     0.20179917     
0.57000000     1.44667667     -0.05571218    0.27792454     0.00000000     0.87356557     0.20319112     
0.57500000     1.44639940     -0.05524651    0.27675996     0.00000000     0.86991161     0.20457724     
0.58000000     1.44612444     -0.05478476    0.27560030     0.00000000     0.86627330     0.20595755     
0.58500000     1.44585177     -0.05432692    0.27444554     0.00000000     0.86265056     0.20733208     
0.59000000     1.44558139     -0.05387293    0.27329566     0.00000000     0.85904332     0.20870084     
0.59500000     1.44531327     -0.05342277    0.27215065     0.00000000     0.85545152     0.21006387     
0.60000000     1.44504738     -0.05297641    0.27101047     0.00000000     0.85187508     0.21142119     
0.60500000     1.44478372     -0.05253382    0.26987512     0.00000000     0.84831394     0.21277283     
0.61000000     1.44452226     -0.05209495    0.26874456     0.00000000     0.84476801     0.21411880     
0.61500000     1.44426298     -0.05165979    0.26761878     0.00000000     0.84123724     0.21545913     
0.62000000     1.44400587     -0.05122829    0.26649776     0.00000000     0.83772155     0.21679385     
0.62500000     1.44375091     -0.05080043    0.26538147     0.00000000     0.83422088     0.21812298     
0.63000000     1.44349808     -0.05037618    0.26426990     0.00000000     0.83073516     0.21944653     
0.63500000     1.44324736     -0.04995550    0.26316302     0.00000000     0.82726431     0.22076455     
0.64000000     1.44299873     -0.04953836    0.26206082     0.00000000     0.82380828     0.22207704     
0.64500000     1.44275218     -0.04912474    0.26096328     0.00000000     0.82036699     0.22338404     
0.65000000     1.44250768     -0.04871460    0.25987037     0.00000000     0.81694039     0.22468557     
0.65500000     1.44226523     -0.04830791    0.25878207     0.00000000     0.81352839     0.22598164     
0.66000000     1.44202480     -0.04790465    0.25769838     0.00000000     0.81013094     0.22727228     
0.66500000     1.44178638     -0.04750478    0.25661925     0.00000000     0.80674797     0.22855752     
0.67000000     1.44154995     -0.04710828    0.25554469     0.00000000     0.80337942     0.22983738     
0.67500000     1.44131549     -0.04671512    0.25447466     0.00000000     0.80002521     0.23111188     
0.68000000     1.44108299     -0.04632526    0.25340915     0.00000000     0.79668529     0.23238104     
0.68500000     1.44085243     -0.04593868    0.25234814     0.00000000     0.79335959     0.23364489     
0.69000000     1.44062379     -0.04555536    0.25129160     0.00000000     0.79004805     0.23490344     
0.69500000     1.44039706     -0.04517526    0.25023953     0.00000000     0.78675060     0.23615673     
0.70000000     1.44017223     -0.04479836    0.24919189     0.00000000     0.78346718     0.23740477     
0.70500000     1.43994927     -0.04442463    0.24814868     0.00000000     0.78019773     0.23864758     
0.71000000     1.43972816     -0.04405403    0.24710987     0.00000000     0.77694218     0.23988519     
0.71500000     1.43950891     -0.04368656    0.24607544     0.00000000     0.77370047     0.24111762     
0.72000000     1.43929148     -0.04332217    0.24504537     0.00000000     0.77047254     0.24234489     
0.72500000     1.43907586     -0.04296085    0.24401966     0.00000000     0.76725833     0.24356702     
0.73000000     1.43886205     -0.04260256    0.24299827     0.00000000     0.76405778     0.24478404     
0.73500000     1.43865002     -0.04224729    0.24198118     0.00000000     0.76087082     0.24599596     
0.74000000     1.43843975     -0.04189500    0.24096839     0.00000000     0.75769739     0.24720281     
0.74500000     1.43823124     -0.04154567    0.23995987     0.00000000     0.75453744     0.24840461     
0.75000000     1.43802447     -0.04119927    0.23895561     0.00000000     0.75139091     0.24960138     
0.75500000     1.43781942     -0.04085578    0.23795557     0.00000000     0.74825772     0.25079314     
0.76000000     1.43761608     -0.04051518    0.23695976     0.00000000     0.74513783     0.25197991     
0.76500000     1.43741443     -0.04017744    0.23596815     0.00000000     0.74203118     0.25316172     
0.77000000     1.43721447     -0.03984253    0.23498071     0.00000000     0.73893770     0.25433858     
0.77500000     1.43701617     -0.03951043    0.23399744     0.00000000     0.73585734     0.25551051     
0.78000000     1.43681953     -0.03918113    0.23301832     0.00000000     0.73279003     0.25667754     
0.78500000     1.43662452     -0.03885458    0.23204332     0.00000000     0.72973573     0.25783969     
0.79000000     1.43643114     -0.03853078    0.23107243     0.00000000     0.72669437     0.25899697     
0.79500000     1.43623938     -0.03820969    0.23010563     0.00000000     0.72366590     0.26014941     
0.80000000     1.43604921     -0.03789130    0.22914291     0.00000000     0.72065025     0.26129703     
0.80500000     1.43586062     -0.03757558    0.22818425     0.00000000     0.71764737     0.26243985     
0.81000000     1.43567361     -0.03726251    0.22722963     0.00000000     0.71465721     0.26357789     
0.81500000     1.43548815     -0.03695206    0.22627903     0.00000000     0.71167971     0.26471116     
0.82000000     1.43530424     -0.03664422    0.22533243     0.00000000     0.70871481     0.26583970     
0.82500000     1.43512186     -0.03633896    0.22438983     0.00000000     0.70576245     0.26696351     
0.83000000     1.43494100     -0.03603626    0.22345119     0.00000000     0.70282259     0.26808262     
0.83500000     1.43476165     -0.03573609    0.22251651     0.00000000     0.69989516     0.26919705     
0.84000000     1.43458379     -0.03543844    0.22158577     0.00000000     0.69698011     0.27030682     
0.84500000     1.43440741     -0.03514329    0.22065895     0.00000000     0.69407739     0.27141195     
0.85000000     1.43423250     -0.03485061    0.21973603     0.00000000     0.69118694     0.27251245     
0.85500000     1.43405905     -0.03456039    0.21881700     0.00000000     0.68830870     0.27360835     
0.86000000     1.43388704     -0.03427259    0.21790184     0.00000000     0.68544263     0.27469967     
0.86500000     1.43371647     -0.03398721    0.21699053     0.00000000     0.68258867     0.27578642     
0.87000000     1.43354731     -0.03370422    0.21608306     0.00000000     0.67974676     0.27686863     
0.87500000     1.43337957     -0.03342360    0.21517942     0.00000000     0.67691686     0.27794631     
0.88000000     1.43321322     -0.03314533    0.21427958     0.00000000     0.67409890     0.27901948     
0.88500000     1.43304825     -0.03286939    0.21338352     0.00000000     0.67129285     0.28008817     
0.89000000     1.43288466     -0.03259577    0.21249124     0.00000000     0.66849864     0.28115238     
0.89500000     1.43272243     -0.03232443    0.21160272     0.00000000     0.66571622     0.28221215     
0.90000000     1.43256155     -0.03205536    0.21071793     0.00000000     0.66294554     0.28326749     
0.90500000     1.43240201     -0.03178855    0.20983687     0.00000000     0.66018656     0.28431841     
0.91000000     1.43224380     -0.03152397    0.20895952     0.00000000     0.65743921     0.28536493     
0.91500000     1.43208691     -0.03126161    0.20808587     0.00000000     0.65470345     0.28640709     
0.92000000     1.43193132     -0.03100144    0.20721589     0.00000000     0.65197922     0.28744488     
0.92500000     1.43177702     -0.03074345    0.20634957     0.00000000     0.64926649     0.28847833     
0.93000000     1.43162401     -0.03048762    0.20548689     0.00000000     0.64656518     0.28950747     
0.93500000     1.43147228     -0.03023393    0.20462785     0.00000000     0.64387527     0.29053230     
0.94000000     1.43132180     -0.02998237    0.20377242     0.00000000     0.64119668     0.29155284     
0.94500000     1.43117258     -0.02973290    0.20292059     0.00000000     0.63852939     0.29256912     
0.95000000     1.43102460     -0.02948553    0.20207234     0.00000000     0.63587333     0.29358116     
0.95500000     1.43087785     -0.02924022    0.20122767     0.00000000     0.63322846     0.29458896     
0.96000000     1.43073232     -0.02899697    0.20038654     0.00000000     0.63059472     0.29559254     
0.96500000     1.43058800     -0.02875575    0.19954896     0.00000000     0.62797208     0.29659194     
0.97000000     1.43044488     -0.02851655    0.19871490     0.00000000     0.62536048     0.29758715     
0.97500000     1.43030296     -0.02827934    0.19788434     0.00000000     0.62275987     0.29857821     
0.98000000     1.43016221     -0.02804412    0.19705728     0.00000000     0.62017021     0.29956512     
0.98500000     1.43002263     -0.02781087    0.19623370     0.00000000     0.61759144     0.30054790     
0.99000000     1.42988422     -0.02757957    0.19541358     0.00000000     0.61502353     0.30152658     
0.99500000     1.42974696     -0.02735020    0.19459691     0.00000000     0.61246641     0.30250117     
1.00000000     1.42961083     -0.02712275    0.19378368     0.00000000     0.60992006     0.30347169     
1.00500000     1.42947584     -0.02689720    0.19297386     0.00000000     0.60738441     0.30443815     
1.01000000     1.42934198     -0.02667353    0.19216745     0.00000000     0.60485943     0.30540057     
1.01500000     1.42920922     -0.02645174    0.19136443     0.00000000     0.60234506     0.30635897     
1.02000000     1.42907757     -0.02623180    0.19056479     0.00000000     0.59984126     0.30731336     
1.02500000     1.42894702     -0.02601369    0.18976850     0.00000000     0.59734798     0.30826376     
1.03000000     1.42881755     -0.02579741    0.18897557     0.00000000     0.59486519     0.30921020     
1.03500000     1.42868915     -0.02558293    0.18818597     0.00000000     0.59239282     0.31015267     
1.04000000     1.42856183     -0.02537025    0.18739968     0.00000000     0.58993085     0.31109121     
1.04500000     1.42843556     -0.02515934    0.18661671     0.00000000     0.58747921     0.31202583     
1.05000000     1.42831034     -0.02495019    0.18583702     0.00000000     0.58503788     0.31295654     
1.05500000     1.42818616     -0.02474279    0.18506061     0.00000000     0.58260679     0.31388337     
1.06000000     1.42806302     -0.02453712    0.18428746     0.00000000     0.58018592     0.31480632     
1.06500000     1.42794090     -0.02433317    0.18351756     0.00000000     0.57777521     0.31572542     
1.07000000     1.42781979     -0.02413093    0.18275090     0.00000000     0.57537462     0.31664067     
1.07500000     1.42769969     -0.02393037    0.18198746     0.00000000     0.57298410     0.31755210     
1.08000000     1.42758059     -0.02373148    0.18122722     0.00000000     0.57060362     0.31845973     
1.08500000     1.42746248     -0.02353426    0.18047018     0.00000000     0.56823313     0.31936356     
1.09000000     1.42734535     -0.02333868    0.17971632     0.00000000     0.56587258     0.32026361     
1.09500000     1.42722920     -0.02314474    0.17896563     0.00000000     0.56352194     0.32115991     
1.10000000     1.42711400     -0.02295241    0.17821809     0.00000000     0.56118116     0.32205246     
1.10500000     1.42699977     -0.02276169    0.17747370     0.00000000     0.55885020     0.32294128     
1.11000000     1.42688649     -0.02257256    0.17673242     0.00000000     0.55652901     0.32382639     
1.11500000     1.42677414     -0.02238501    0.17599427     0.00000000     0.55421755     0.32470781     
1.12000000     1.42666273     -0.02219902    0.17525921     0.00000000     0.55191579     0.32558554     
1.12500000     1.42655225     -0.02201459    0.17452724     0.00000000     0.54962367     0.32645960     
1.13000000     1.42644268     -0.02183169    0.17379834     0.00000000     0.54734117     0.32733002     
1.13500000     1.42633403     -0.02165032    0.17307251     0.00000000     0.54506823     0.32819680     
1.14000000     1.42622627     -0.02147046    0.17234972     0.00000000     0.54280481     0.32905995     
1.14500000     1.42611942     -0.02129210    0.17162997     0.00000000     0.54055088     0.32991951     
1.15000000     1.42601345     -0.02111523    0.17091324     0.00000000     0.53830640     0.33077547     
1.15500000     1.42590836     -0.02093984    0.17019952     0.00000000     0.53607131     0.33162786     
1.16000000     1.42580414     -0.02076591    0.16948879     0.00000000     0.53384559     0.33247669     
1.16500000     1.42570079     -0.02059343    0.16878105     0.00000000     0.53162919     0.33332197     
1.17000000     1.42559830     -0.02042238    0.16807628     0.00000000     0.52942207     0.33416373     
1.17500000     1.42549665     -0.02025277    0.16737447     0.00000000     0.52722419     0.33500196     
1.18000000     1.42539586     -0.02008456    0.16667561     0.00000000     0.52503552     0.33583670     
1.18500000     1.42529590     -0.01991776    0.16597968     0.00000000     0.52285601     0.33666795     
1.19000000     1.42519677     -0.01975235    0.16528667     0.00000000     0.52068562     0.33749574     
1.19500000     1.42509846     -0.01958832    0.16459657     0.00000000     0.51852432     0.33832006     
1.20000000     1.42500097     -0.01942566    0.16390937     0.00000000     0.51637206     0.33914094     
1.20500000     1.42490429     -0.01926435    0.16322505     0.00000000     0.51422881     0.33995840     
1.21000000     1.42480841     -0.01910439    0.16254360     0.00000000     0.51209452     0.34077244     
1.21500000     1.42471333     -0.01894576    0.16186501     0.00000000     0.50996917     0.34158308     
1.22000000     1.42461904     -0.01878845    0.16118927     0.00000000     0.50785271     0.34239034     
1.22500000     1.42452553     -0.01863245    0.16051636     0.00000000     0.50574510     0.34319423     
1.23000000     1.42443280     -0.01847775    0.15984628     0.00000000     0.50364630     0.34399476     
1.23500000     1.42434083     -0.01832434    0.15917901     0.00000000     0.50155628     0.34479195     
1.24000000     1.42424964     -0.01817221    0.15851454     0.00000000     0.49947500     0.34558581     
1.24500000     1.42415919     -0.01802135    0.15785286     0.00000000     0.49740243     0.34637636     
1.25000000     1.42406950     -0.01787174    0.15719395     0.00000000     0.49533852     0.34716361     
1.25500000     1.42398056     -0.01772338    0.15653781     0.00000000     0.49328323     0.34794757     
1.26000000     1.42389235     -0.01757626    0.15588442     0.00000000     0.49123654     0.34872825     
1.26500000     1.42380487     -0.01743036    0.15523377     0.00000000     0.48919841     0.34950568     
1.27000000     1.42371812     -0.01728568    0.15458585     0.00000000     0.48716879     0.35027987     
1.27500000     1.42363209     -0.01714220    0.15394065     0.00000000     0.48514765     0.35105082     
1.28000000     1.42354678     -0.01699991    0.15329815     0.00000000     0.48313496     0.35181855     
1.28500000     1.42346217     -0.01685881    0.15265835     0.00000000     0.48113067     0.35258308     
1.29000000     1.42337827     -0.01671889    0.15202123     0.00000000     0.47913476     0.35334442     
1.29500000     1.42329506     -0.01658013    0.15138679     0.00000000     0.47714719     0.35410258     
1.30000000     1.42321254     -0.01644253    0.15075500     0.00000000     0.47516792     0.35485757     
1.30500000     1.42313071     -0.01630607    0.15012587     0.00000000     0.47319691     0.35560942     
1.31000000     1.42304955     -0.01617075    0.14949937     0.00000000     0.47123414     0.35635812     
1.31500000     1.42296907     -0.01603655    0.14887550     0.00000000     0.46927956     0.35710371     
1.32000000     1.42288926     -0.01590348    0.14825424     0.00000000     0.46733315     0.35784618     
1.32500000     1.42281011     -0.01577150    0.14763559     0.00000000     0.46539486     0.35858555     
1.33000000     1.42273162     -0.01564063    0.14701954     0.00000000     0.46346466     0.35932183     
1.33500000     1.42265378     -0.01551085    0.14640606     0.00000000     0.46154252     0.36005505     
1.34000000     1.42257658     -0.01538215    0.14579516     0.00000000     0.45962840     0.36078520     
1.34500000     1.42250002     -0.01525452    0.14518682     0.00000000     0.45772228     0.36151231     
1.35000000     1.42242410     -0.01512795    0.14458103     0.00000000     0.45582410     0.36223638     
1.35500000     1.42234881     -0.01500243    0.14397778     0.00000000     0.45393385     0.36295743     
1.36000000     1.42227415     -0.01487796    0.14337705     0.00000000     0.45205148     0.36367547     
1.36500000     1.42220010     -0.01475453    0.14277885     0.00000000     0.45017697     0.36439051     
1.37000000     1.42212667     -0.01463212    0.14218315     0.00000000     0.44831028     0.36510258     
1.37500000     1.42205385     -0.01451073    0.14158995     0.00000000     0.44645138     0.36581167     
1.38000000     1.42198163     -0.01439035    0.14099924     0.00000000     0.44460023     0.36651780     
1.38500000     1.42191001     -0.01427097    0.14041100     0.00000000     0.44275680     0.36722098     
1.39000000     1.42183899     -0.01415258    0.13982523     0.00000000     0.44092106     0.36792123     
1.39500000     1.42176855     -0.01403518    0.13924191     0.00000000     0.43909298     0.36861856     
1.40000000     1.42169870     -0.01391876    0.13866103     0.00000000     0.43727251     0.36931298     
1.40500000     1.42162943     -0.01380330    0.13808259     0.00000000     0.43545964     0.37000450     
1.41000000     1.42156073     -0.01368881    0.13750657     0.00000000     0.43365433     0.37069314     
1.41500000     1.42149261     -0.01357526    0.13693297     0.00000000     0.43185655     0.37137891     
1.42000000     1.42142504     -0.01346267    0.13636177     0.00000000     0.43006625     0.37206181     
1.42500000     1.42135804     -0.01335100    0.13579296     0.00000000     0.42828343     0.37274186     
1.43000000     1.42129160     -0.01324027    0.13522654     0.00000000     0.42650803     0.37341908     
1.43500000     1.42122570     -0.01313046    0.13466249     0.00000000     0.42474003     0.37409347     
1.44000000     1.42116035     -0.01302156    0.13410080     0.00000000     0.42297940     0.37476505     
1.44500000     1.42109555     -0.01291356    0.13354147     0.00000000     0.42122611     0.37543383     
1.45000000     1.42103128     -0.01280647    0.13298448     0.00000000     0.41948012     0.37609982     
1.45500000     1.42096754     -0.01270026    0.13242982     0.00000000     0.41774141     0.37676303     
1.46000000     1.42090434     -0.01259494    0.13187748     0.00000000     0.41600994     0.37742347     
1.46500000     1.42084165     -0.01249049    0.13132746     0.00000000     0.41428569     0.37808116     
1.47000000     1.42077949     -0.01238691    0.13077974     0.00000000     0.41256862     0.37873610     
1.47500000     1.42071784     -0.01228420    0.13023432     0.00000000     0.41085870     0.37938832     
1.48000000     1.42065671     -0.01218233    0.12969118     0.00000000     0.40915590     0.38003781     
1.48500000     1.42059608     -0.01208131    0.12915031     0.00000000     0.40746020     0.38068459     
1.49000000     1.42053595     -0.01198114    0.12861171     0.00000000     0.40577156     0.38132868     
1.49500000     1.42047632     -0.01188179    0.12807537     0.00000000     0.40408995     0.38197007     
1.50000000     1.42041719     -0.01178327    0.12754127     0.00000000     0.40241534     0.38260880     
1.50500000     1.42035855     -0.01168557    0.12700941     0.00000000     0.40074771     0.38324486     
1.51000000     1.42030039     -0.01158869    0.12647977     0.00000000     0.39908702     0.38387827     
1.51500000     1.42024272     -0.01149260    0.12595235     0.00000000     0.39743324     0.38450903     
1.52000000     1.42018552     -0.01139732    0.12542714     0.00000000     0.39578635     0.38513717     
1.52500000     1.42012880     -0.01130283    0.12490413     0.00000000     0.39414631     0.38576268     
1.53000000     1.42007255     -0.01120912    0.12438331     0.00000000     0.39251310     0.38638559     
1.53500000     1.42001676     -0.01111619    0.12386467     0.00000000     0.39088669     0.38700590     
1.54000000     1.41996144     -0.01102403    0.12334820     0.00000000     0.38926705     0.38762362     
1.54500000     1.41990657     -0.01093264    0.12283390     0.00000000     0.38765415     0.38823876     
1.55000000     1.41985217     -0.01084201    0.12232174     0.00000000     0.38604796     0.38885134     
1.55500000     1.41979821     -0.01075213    0.12181173     0.00000000     0.38444846     0.38946137     
1.56000000     1.41974470     -0.01066300    0.12130386     0.00000000     0.38285561     0.39006885     
1.56500000     1.41969163     -0.01057461    0.12079811     0.00000000     0.38126939     0.39067380     
