# delta = 1.000, g = 0.500
# flow parameter s, ||Hod||, diagonal elements of Hd
0.00000000     1.22474487     1.50000000     3.50000000     5.50000000     5.50000000     7.50000000     9.50000000     
0.01000057     1.08184913     1.48310499     3.49220360     5.50019208     5.50019208     7.50796950     9.51633775     
0.02136678     0.96372085     1.47008136     3.48711134     5.50062084     5.50062084     7.51355426     9.52801136     
0.03289471     0.86652909     1.46009704     3.48369910     5.50108794     5.50108794     7.51775383     9.53627414     
0.04625969     0.79413781     1.45318153     3.48151408     5.50142694     5.50142694     7.52086331     9.54158721     
0.05851501     0.72701444     1.44724319     3.47969709     5.50166533     5.50166533     7.52388057     9.54584848     
0.07355671     0.67411051     1.44292206     3.47838503     5.50176453     5.50176453     7.52640639     9.54875745     
0.08695447     0.62490840     1.43920384     3.47725648     5.50177053     5.50177053     7.52887761     9.55112100     
0.10075628     0.58763244     1.43658267     3.47646296     5.50171877     5.50171877     7.53081071     9.55270612     
0.11430455     0.54857282     1.43401632     3.47569162     5.50161767     5.50161767     7.53286410     9.55419262     
0.12896473     0.51334722     1.43185811     3.47505063     5.50149300     5.50149300     7.53471107     9.55539418     
0.14362492     0.48119603     1.43001592     3.47451117     5.50135903     5.50135903     7.53636760     9.55638726     
0.15828510     0.45159052     1.42842628     3.47405222     5.50122479     5.50122479     7.53784926     9.55722266     
0.17294528     0.42415347     1.42704386     3.47365814     5.50109572     5.50109572     7.53917141     9.55793515     
0.18760547     0.39921210     1.42586277     3.47332489     5.50097770     5.50097770     7.54032172     9.55853522     
0.20180737     0.37610095     1.42483258     3.47303634     5.50086991     5.50086991     7.54133790     9.55905336     
0.21596765     0.35441702     1.42392222     3.47278254     5.50077162     5.50077162     7.54224396     9.55950805     
0.23012793     0.33404090     1.42311645     3.47255836     5.50068275     5.50068275     7.54305100     9.55990869     
0.24428821     0.31487309     1.42240246     3.47235967     5.50060293     5.50060293     7.54376924     9.56026277     
0.25844849     0.29506349     1.42170945     3.47216634     5.50052482     5.50052482     7.54446850     9.56060607     
0.27546174     0.27488586     1.42105054     3.47198161     5.50045027     5.50045027     7.54513473     9.56093257     
0.29247498     0.25609875     1.42047970     3.47182044     5.50038572     5.50038572     7.54571257     9.56121586     
0.30948822     0.23860111     1.41998505     3.47167954     5.50032999     5.50032999     7.54621349     9.56146194     
