#   delta = 1.000, g = 0.900, ds = 0.010
#   s             E             dE       ||Gammaod||    ||eta2B||    

0.0000000     1.1000000     -0.4725000    2.5455844     0.8077747     
0.0100000     1.0952925     -0.4689940    2.5268302     0.8077747     
0.0200000     1.0906530     -0.4622256    2.5082509     0.8021642     
0.0300000     1.0860804     -0.4555656    2.4898441     0.7965976     
0.0400000     1.0815736     -0.4490122    2.4716077     0.7910747     
0.0500000     1.0771316     -0.4425633    2.4535392     0.7855950     
0.0600000     1.0727533     -0.4362170    2.4356367     0.7801579     
0.0700000     1.0684377     -0.4299714    2.4178978     0.7747632     
0.0800000     1.0641838     -0.4238246    2.4003204     0.7694103     
0.0900000     1.0599907     -0.4177748    2.3829026     0.7640988     
0.1000000     1.0558573     -0.4118203    2.3656422     0.7588283     
0.1100000     1.0517828     -0.4059593    2.3485372     0.7535985     
0.1200000     1.0477663     -0.4001901    2.3315856     0.7484089     
0.1300000     1.0438067     -0.3945112    2.3147855     0.7432591     
0.1400000     1.0399033     -0.3889207    2.2981351     0.7381487     
0.1500000     1.0360552     -0.3834172    2.2816323     0.7330774     
0.1600000     1.0322614     -0.3779992    2.2652755     0.7280448     
0.1700000     1.0285213     -0.3726650    2.2490627     0.7230504     
0.1800000     1.0248338     -0.3674132    2.2329922     0.7180941     
0.1900000     1.0211983     -0.3622424    2.2170622     0.7131753     
0.2000000     1.0176138     -0.3571510    2.2012711     0.7082937     
0.2100000     1.0140797     -0.3521378    2.1856171     0.7034490     
0.2200000     1.0105952     -0.3472014    2.1700986     0.6986409     
0.2300000     1.0071595     -0.3423403    2.1547139     0.6938689     
0.2400000     1.0037718     -0.3375534    2.1394615     0.6891328     
0.2500000     1.0004315     -0.3328392    2.1243398     0.6844323     
0.2600000     0.9971377     -0.3281967    2.1093471     0.6797670     
0.2700000     0.9938899     -0.3236244    2.0944821     0.6751365     
0.2800000     0.9906873     -0.3191213    2.0797431     0.6705406     
0.2900000     0.9875292     -0.3146861    2.0651288     0.6659790     
0.3000000     0.9844150     -0.3103177    2.0506376     0.6614514     
0.3100000     0.9813439     -0.3060149    2.0362681     0.6569574     
0.3200000     0.9783154     -0.3017766    2.0220190     0.6524967     
0.3300000     0.9753288     -0.2976018    2.0078888     0.6480691     
0.3400000     0.9723836     -0.2934893    1.9938762     0.6436742     
0.3500000     0.9694789     -0.2894382    1.9799799     0.6393118     
0.3600000     0.9666144     -0.2854473    1.9661984     0.6349816     
0.3700000     0.9637893     -0.2815157    1.9525307     0.6306833     
0.3800000     0.9610030     -0.2776424    1.9389752     0.6264166     
0.3900000     0.9582551     -0.2738264    1.9255309     0.6221813     
0.4000000     0.9555449     -0.2700668    1.9121964     0.6179770     
0.4100000     0.9528720     -0.2663627    1.8989706     0.6138036     
0.4200000     0.9502356     -0.2627130    1.8858522     0.6096607     
0.4300000     0.9476353     -0.2591170    1.8728402     0.6055480     
0.4400000     0.9450707     -0.2555737    1.8599332     0.6014654     
0.4500000     0.9425410     -0.2520823    1.8471302     0.5974126     
0.4600000     0.9400459     -0.2486420    1.8344300     0.5933892     
0.4700000     0.9375848     -0.2452518    1.8218316     0.5893952     
0.4800000     0.9351573     -0.2419111    1.8093338     0.5854301     
0.4900000     0.9327628     -0.2386189    1.7969356     0.5814938     
0.5000000     0.9304009     -0.2353746    1.7846359     0.5775860     
0.5100000     0.9280710     -0.2321773    1.7724336     0.5737065     
0.5200000     0.9257728     -0.2290262    1.7603278     0.5698551     
0.5300000     0.9235058     -0.2259208    1.7483174     0.5660315     
0.5400000     0.9212694     -0.2228601    1.7364015     0.5622355     
0.5500000     0.9190634     -0.2198435    1.7245790     0.5584668     
0.5600000     0.9168872     -0.2168704    1.7128489     0.5547252     
0.5700000     0.9147404     -0.2139399    1.7012104     0.5510106     
0.5800000     0.9126226     -0.2110515    1.6896625     0.5473226     
0.5900000     0.9105334     -0.2082044    1.6782042     0.5436611     
0.6000000     0.9084724     -0.2053981    1.6668347     0.5400259     
0.6100000     0.9064391     -0.2026318    1.6555530     0.5364167     
0.6200000     0.9044332     -0.1999050    1.6443582     0.5328333     
0.6300000     0.9024542     -0.1972170    1.6332496     0.5292755     
0.6400000     0.9005019     -0.1945672    1.6222261     0.5257431     
0.6500000     0.8985758     -0.1919551    1.6112870     0.5222359     
0.6600000     0.8966755     -0.1893800    1.6004315     0.5187537     
0.6700000     0.8948007     -0.1868414    1.5896586     0.5152962     
0.6800000     0.8929510     -0.1843387    1.5789676     0.5118634     
0.6900000     0.8911261     -0.1818713    1.5683577     0.5084550     
0.7000000     0.8893256     -0.1794388    1.5578281     0.5050707     
0.7100000     0.8875492     -0.1770405    1.5473780     0.5017105     
0.7200000     0.8857965     -0.1746759    1.5370067     0.4983740     
0.7300000     0.8840672     -0.1723446    1.5267133     0.4950612     
0.7400000     0.8823610     -0.1700460    1.5164971     0.4917718     
0.7500000     0.8806775     -0.1677796    1.5063574     0.4885056     
0.7600000     0.8790164     -0.1655450    1.4962934     0.4852625     
0.7700000     0.8773775     -0.1633416    1.4863045     0.4820423     
0.7800000     0.8757604     -0.1611690    1.4763899     0.4788448     
0.7900000     0.8741648     -0.1590266    1.4665489     0.4756698     
0.8000000     0.8725903     -0.1569142    1.4567809     0.4725171     
0.8100000     0.8710368     -0.1548311    1.4470851     0.4693866     
0.8200000     0.8695039     -0.1527770    1.4374608     0.4662781     
0.8300000     0.8679913     -0.1507514    1.4279075     0.4631914     
0.8400000     0.8664988     -0.1487539    1.4184244     0.4601263     
0.8500000     0.8650260     -0.1467841    1.4090109     0.4570827     
0.8600000     0.8635728     -0.1448415    1.3996663     0.4540604     
0.8700000     0.8621387     -0.1429258    1.3903901     0.4510593     
0.8800000     0.8607237     -0.1410365    1.3811816     0.4480791     
0.8900000     0.8593273     -0.1391733    1.3720401     0.4451197     
0.9000000     0.8579494     -0.1373358    1.3629652     0.4421810     
0.9100000     0.8565896     -0.1355236    1.3539561     0.4392628     
0.9200000     0.8552478     -0.1337363    1.3450123     0.4363649     
0.9300000     0.8539237     -0.1319735    1.3361332     0.4334872     
0.9400000     0.8526170     -0.1302350    1.3273182     0.4306295     
0.9500000     0.8513276     -0.1285203    1.3185668     0.4277917     
0.9600000     0.8500551     -0.1268290    1.3098783     0.4249735     
0.9700000     0.8487993     -0.1251609    1.3012523     0.4221750     
0.9800000     0.8475601     -0.1235156    1.2926881     0.4193958     
0.9900000     0.8463371     -0.1218928    1.2841853     0.4166359     
1.0000000     0.8451303     -0.1202921    1.2757433     0.4138952     
1.0100000     0.8439392     -0.1187133    1.2673615     0.4111734     
1.0200000     0.8427638     -0.1171559    1.2590395     0.4084704     
1.0300000     0.8416038     -0.1156197    1.2507767     0.4057861     
1.0400000     0.8404590     -0.1141044    1.2425727     0.4031203     
1.0500000     0.8393293     -0.1126097    1.2344268     0.4004729     
1.0600000     0.8382143     -0.1111353    1.2263386     0.3978438     
1.0700000     0.8371139     -0.1096809    1.2183077     0.3952328     
1.0800000     0.8360279     -0.1082461    1.2103335     0.3926398     
1.0900000     0.8349561     -0.1068308    1.2024155     0.3900646     
1.1000000     0.8338983     -0.1054347    1.1945533     0.3875071     
1.1100000     0.8328544     -0.1040573    1.1867463     0.3849673     
1.1200000     0.8318241     -0.1026986    1.1789942     0.3824448     
1.1300000     0.8308072     -0.1013583    1.1712965     0.3799397     
1.1400000     0.8298036     -0.1000359    1.1636527     0.3774517     
1.1500000     0.8288131     -0.0987314    1.1560624     0.3749808     
1.1600000     0.8278355     -0.0974445    1.1485250     0.3725269     
1.1700000     0.8268707     -0.0961748    1.1410403     0.3700897     
1.1800000     0.8259184     -0.0949223    1.1336077     0.3676692     
1.1900000     0.8249785     -0.0936865    1.1262268     0.3652652     
1.2000000     0.8240509     -0.0924673    1.1188972     0.3628777     
1.2100000     0.8231353     -0.0912645    1.1116184     0.3605065     
1.2200000     0.8222317     -0.0900777    1.1043901     0.3581514     
1.2300000     0.8213398     -0.0889069    1.0972119     0.3558124     
1.2400000     0.8204595     -0.0877517    1.0900833     0.3534894     
1.2500000     0.8195906     -0.0866120    1.0830039     0.3511822     
1.2600000     0.8187330     -0.0854875    1.0759733     0.3488907     
1.2700000     0.8178865     -0.0843780    1.0689912     0.3466147     
1.2800000     0.8170511     -0.0832833    1.0620572     0.3443543     
1.2900000     0.8162264     -0.0822032    1.0551708     0.3421092     
1.3000000     0.8154125     -0.0811375    1.0483317     0.3398793     
1.3100000     0.8146091     -0.0800859    1.0415394     0.3376646     
1.3200000     0.8138161     -0.0790484    1.0347938     0.3354649     
1.3300000     0.8130335     -0.0780247    1.0280943     0.3332801     
1.3400000     0.8122609     -0.0770145    1.0214405     0.3311102     
1.3500000     0.8114983     -0.0760178    1.0148323     0.3289549     
1.3600000     0.8107456     -0.0750343    1.0082691     0.3268142     
1.3700000     0.8100027     -0.0740638    1.0017506     0.3246880     
1.3800000     0.8092694     -0.0731062    0.9952765     0.3225761     
1.3900000     0.8085455     -0.0721613    0.9888464     0.3204785     
1.4000000     0.8078310     -0.0712289    0.9824600     0.3183951     
1.4100000     0.8071257     -0.0703088    0.9761170     0.3163258     
