# delta = 1.000, g = 0.500, generator = white          
# ===================================================================================================
#    s              E            dE/ds        ||eta2B||      ||fod||       ||Gammaod||    ||Omega2B||    
# ===================================================================================================

7.00000000     1.41333775     -0.00000083    0.00110785     0.00000000     0.00326325     0.53424079     
7.10000000     1.41333768     -0.00000070    0.00101585     0.00000000     0.00299257     0.53434227     
7.20000000     1.41333762     -0.00000059    0.00093149     0.00000000     0.00274434     0.53443532     
7.30000000     1.41333757     -0.00000050    0.00085414     0.00000000     0.00251670     0.53452065     
7.40000000     1.41333753     -0.00000042    0.00078321     0.00000000     0.00230794     0.53459888     
7.50000000     1.41333750     -0.00000035    0.00071818     0.00000000     0.00211649     0.53467062     
7.60000000     1.41333747     -0.00000029    0.00065854     0.00000000     0.00194092     0.53473641     
7.70000000     1.41333745     -0.00000025    0.00060386     0.00000000     0.00177991     0.53479673     
7.80000000     1.41333743     -0.00000021    0.00055372     0.00000000     0.00163226     0.53485204     
7.90000000     1.41333741     -0.00000018    0.00050775     0.00000000     0.00149685     0.53490275     
8.00000000     1.41333740     -0.00000015    0.00046559     0.00000000     0.00137268     0.53494926     
8.10000000     1.41333739     -0.00000012    0.00042694     0.00000000     0.00125880     0.53499191     
8.20000000     1.41333738     -0.00000010    0.00039149     0.00000000     0.00115437     0.53503101     
8.30000000     1.41333737     -0.00000009    0.00035899     0.00000000     0.00105861     0.53506687     
8.40000000     1.41333736     -0.00000007    0.00032918     0.00000000     0.00097078     0.53509975     
8.50000000     1.41333736     -0.00000006    0.00030185     0.00000000     0.00089025     0.53512990     
8.60000000     1.41333735     -0.00000005    0.00027679     0.00000000     0.00081639     0.53515755     
8.70000000     1.41333735     -0.00000004    0.00025382     0.00000000     0.00074866     0.53518290     
8.80000000     1.41333735     -0.00000004    0.00023274     0.00000000     0.00068655     0.53520615     
8.90000000     1.41333734     -0.00000003    0.00021342     0.00000000     0.00062959     0.53522746     
9.00000000     1.41333734     -0.00000003    0.00019571     0.00000000     0.00057736     0.53524701     
9.10000000     1.41333734     -0.00000002    0.00017946     0.00000000     0.00052946     0.53526493     
9.20000000     1.41333734     -0.00000002    0.00016456     0.00000000     0.00048553     0.53528137     
9.30000000     1.41333734     -0.00000002    0.00015090     0.00000000     0.00044525     0.53529644     
9.40000000     1.41333734     -0.00000001    0.00013837     0.00000000     0.00040831     0.53531026     
9.50000000     1.41333734     -0.00000001    0.00012689     0.00000000     0.00037443     0.53532294     
9.60000000     1.41333734     -0.00000001    0.00011636     0.00000000     0.00034336     0.53533456     
9.70000000     1.41333733     -0.00000001    0.00010670     0.00000000     0.00031488     0.53534521     
9.80000000     1.41333733     -0.00000001    0.00009784     0.00000000     0.00028875     0.53535499     
9.90000000     1.41333733     -0.00000001    0.00008972     0.00000000     0.00026479     0.53536395     
