#   delta = 1.000, g = 0.200, ds = 0.010
#   s             E             dE       ||Gammaod||    ||eta2B||    

0.0000000     1.8000000     -0.0233333    0.5656854     0.1795055     
0.0100000     1.7997678     -0.0231133    0.5603588     0.1795055     
0.0200000     1.7995399     -0.0226800    0.5550826     0.1778145     
0.0300000     1.7993163     -0.0222547    0.5498566     0.1761395     
0.0400000     1.7990969     -0.0218375    0.5446801     0.1744803     
0.0500000     1.7988816     -0.0214281    0.5395526     0.1728367     
0.0600000     1.7986703     -0.0210264    0.5344738     0.1712087     
0.0700000     1.7984630     -0.0206323    0.5294432     0.1695960     
0.0800000     1.7982596     -0.0202455    0.5244601     0.1679985     
0.0900000     1.7980600     -0.0198661    0.5195244     0.1664161     
0.1000000     1.7978641     -0.0194937    0.5146353     0.1648486     
0.1100000     1.7976719     -0.0191284    0.5097926     0.1632959     
0.1200000     1.7974833     -0.0187699    0.5049957     0.1617579     
0.1300000     1.7972983     -0.0184182    0.5002442     0.1602343     
0.1400000     1.7971167     -0.0180730    0.4955378     0.1587251     
0.1500000     1.7969385     -0.0177344    0.4908758     0.1572302     
0.1600000     1.7967636     -0.0174021    0.4862580     0.1557493     
0.1700000     1.7965921     -0.0170760    0.4816839     0.1542824     
0.1800000     1.7964237     -0.0167561    0.4771530     0.1528294     
0.1900000     1.7962585     -0.0164421    0.4726650     0.1513900     
0.2000000     1.7960964     -0.0161341    0.4682194     0.1499643     
0.2100000     1.7959373     -0.0158318    0.4638159     0.1485519     
0.2200000     1.7957812     -0.0155353    0.4594540     0.1471529     
0.2300000     1.7956281     -0.0152443    0.4551333     0.1457671     
0.2400000     1.7954778     -0.0149587    0.4508535     0.1443944     
0.2500000     1.7953303     -0.0146785    0.4466141     0.1430345     
0.2600000     1.7951856     -0.0144036    0.4424147     0.1416876     
0.2700000     1.7950436     -0.0141338    0.4382551     0.1403533     
0.2800000     1.7949042     -0.0138691    0.4341347     0.1390316     
0.2900000     1.7947675     -0.0136093    0.4300532     0.1377223     
0.3000000     1.7946333     -0.0133545    0.4260103     0.1364254     
0.3100000     1.7945016     -0.0131044    0.4220056     0.1351407     
0.3200000     1.7943724     -0.0128590    0.4180387     0.1338681     
0.3300000     1.7942456     -0.0126182    0.4141092     0.1326076     
0.3400000     1.7941212     -0.0123819    0.4102168     0.1313589     
0.3500000     1.7939992     -0.0121501    0.4063611     0.1301220     
0.3600000     1.7938794     -0.0119226    0.4025419     0.1288967     
0.3700000     1.7937618     -0.0116993    0.3987586     0.1276830     
0.3800000     1.7936465     -0.0114803    0.3950111     0.1264807     
0.3900000     1.7935333     -0.0112653    0.3912989     0.1252898     
0.4000000     1.7934222     -0.0110544    0.3876217     0.1241101     
0.4100000     1.7933132     -0.0108475    0.3839792     0.1229415     
0.4200000     1.7932063     -0.0106444    0.3803711     0.1217839     
0.4300000     1.7931013     -0.0104451    0.3767970     0.1206372     
0.4400000     1.7929983     -0.0102496    0.3732566     0.1195014     
0.4500000     1.7928973     -0.0100577    0.3697495     0.1183762     
0.4600000     1.7927981     -0.0098694    0.3662756     0.1172617     
0.4700000     1.7927008     -0.0096847    0.3628343     0.1161576     
0.4800000     1.7926053     -0.0095034    0.3594255     0.1150640     
0.4900000     1.7925116     -0.0093255    0.3560489     0.1139806     
0.5000000     1.7924197     -0.0091510    0.3527040     0.1129075     
0.5100000     1.7923295     -0.0089797    0.3493907     0.1118445     
0.5200000     1.7922409     -0.0088116    0.3461086     0.1107915     
0.5300000     1.7921541     -0.0086467    0.3428574     0.1097484     
0.5400000     1.7920688     -0.0084849    0.3396368     0.1087152     
0.5500000     1.7919852     -0.0083261    0.3364466     0.1076917     
0.5600000     1.7919031     -0.0081703    0.3332864     0.1066778     
0.5700000     1.7918225     -0.0080174    0.3301560     0.1056735     
0.5800000     1.7917435     -0.0078673    0.3270551     0.1046786     
0.5900000     1.7916659     -0.0077201    0.3239833     0.1036932     
0.6000000     1.7915898     -0.0075756    0.3209405     0.1027170     
0.6100000     1.7915151     -0.0074339    0.3179263     0.1017500     
0.6200000     1.7914418     -0.0072947    0.3149406     0.1007921     
0.6300000     1.7913699     -0.0071582    0.3119829     0.0998432     
0.6400000     1.7912993     -0.0070243    0.3090530     0.0989033     
0.6500000     1.7912300     -0.0068929    0.3061508     0.0979723     
0.6600000     1.7911621     -0.0067639    0.3032758     0.0970500     
0.6700000     1.7910954     -0.0066373    0.3004280     0.0961364     
0.6800000     1.7910300     -0.0065131    0.2976069     0.0952314     
0.6900000     1.7909657     -0.0063913    0.2948123     0.0943349     
0.7000000     1.7909027     -0.0062717    0.2920441     0.0934469     
0.7100000     1.7908409     -0.0061543    0.2893019     0.0925672     
0.7200000     1.7907802     -0.0060392    0.2865855     0.0916958     
0.7300000     1.7907207     -0.0059262    0.2838947     0.0908327     
0.7400000     1.7906622     -0.0058153    0.2812292     0.0899777     
0.7500000     1.7906049     -0.0057065    0.2785887     0.0891307     
0.7600000     1.7905486     -0.0055998    0.2759731     0.0882917     
0.7700000     1.7904934     -0.0054950    0.2733821     0.0874606     
0.7800000     1.7904392     -0.0053922    0.2708155     0.0866373     
0.7900000     1.7903861     -0.0052913    0.2682730     0.0858218     
0.8000000     1.7903339     -0.0051923    0.2657544     0.0850140     
0.8100000     1.7902827     -0.0050952    0.2632595     0.0842138     
0.8200000     1.7902325     -0.0049999    0.2607880     0.0834211     
0.8300000     1.7901832     -0.0049064    0.2583399     0.0826359     
0.8400000     1.7901348     -0.0048146    0.2559147     0.0818580     
0.8500000     1.7900873     -0.0047245    0.2535123     0.0810876     
0.8600000     1.7900408     -0.0046361    0.2511325     0.0803243     
0.8700000     1.7899951     -0.0045494    0.2487751     0.0795683     
0.8800000     1.7899502     -0.0044643    0.2464398     0.0788193     
0.8900000     1.7899062     -0.0043808    0.2441265     0.0780775     
0.9000000     1.7898630     -0.0042989    0.2418350     0.0773426     
0.9100000     1.7898206     -0.0042185    0.2395650     0.0766146     
0.9200000     1.7897790     -0.0041396    0.2373163     0.0758935     
0.9300000     1.7897382     -0.0040621    0.2350888     0.0751792     
0.9400000     1.7896981     -0.0039861    0.2328821     0.0744716     
0.9500000     1.7896588     -0.0039116    0.2306963     0.0737707     
0.9600000     1.7896203     -0.0038384    0.2285310     0.0730764     
0.9700000     1.7895824     -0.0037666    0.2263860     0.0723886     
0.9800000     1.7895453     -0.0036962    0.2242612     0.0717073     
0.9900000     1.7895089     -0.0036271    0.2221563     0.0710324     
1.0000000     1.7894731     -0.0035592    0.2200713     0.0703638     
1.0100000     1.7894380     -0.0034927    0.2180058     0.0697016     
1.0200000     1.7894036     -0.0034273    0.2159597     0.0690456     
1.0300000     1.7893698     -0.0033632    0.2139329     0.0683958     
1.0400000     1.7893366     -0.0033003    0.2119251     0.0677521     
1.0500000     1.7893041     -0.0032386    0.2099361     0.0671144     
1.0600000     1.7892721     -0.0031780    0.2079659     0.0664828     
1.0700000     1.7892408     -0.0031186    0.2060141     0.0658571     
1.0800000     1.7892101     -0.0030603    0.2040807     0.0652373     
1.0900000     1.7891799     -0.0030030    0.2021655     0.0646233     
1.1000000     1.7891503     -0.0029469    0.2002682     0.0640152     
1.1100000     1.7891212     -0.0028918    0.1983888     0.0634127     
1.1200000     1.7890927     -0.0028377    0.1965270     0.0628159     
1.1300000     1.7890647     -0.0027846    0.1946827     0.0622248     
1.1400000     1.7890373     -0.0027326    0.1928558     0.0616392     
1.1500000     1.7890103     -0.0026814    0.1910460     0.0610591     
1.1600000     1.7889839     -0.0026313    0.1892532     0.0604845     
1.1700000     1.7889580     -0.0025821    0.1874772     0.0599153     
1.1800000     1.7889325     -0.0025338    0.1857179     0.0593514     
1.1900000     1.7889075     -0.0024864    0.1839751     0.0587929     
1.2000000     1.7888830     -0.0024399    0.1822487     0.0582396     
1.2100000     1.7888589     -0.0023943    0.1805386     0.0576915     
1.2200000     1.7888353     -0.0023495    0.1788444     0.0571486     
1.2300000     1.7888122     -0.0023056    0.1771662     0.0566108     
1.2400000     1.7887894     -0.0022625    0.1755038     0.0560781     
1.2500000     1.7887671     -0.0022202    0.1738569     0.0555503     
1.2600000     1.7887452     -0.0021787    0.1722255     0.0550276     
1.2700000     1.7887238     -0.0021379    0.1706095     0.0545098     
1.2800000     1.7887027     -0.0020979    0.1690086     0.0539968     
1.2900000     1.7886820     -0.0020587    0.1674227     0.0534887     
1.3000000     1.7886617     -0.0020202    0.1658518     0.0529853     
1.3100000     1.7886418     -0.0019824    0.1642956     0.0524867     
1.3200000     1.7886222     -0.0019454    0.1627540     0.0519928     
1.3300000     1.7886031     -0.0019090    0.1612268     0.0515036     
1.3400000     1.7885842     -0.0018733    0.1597140     0.0510189     
1.3500000     1.7885658     -0.0018383    0.1582155     0.0505388     
1.3600000     1.7885476     -0.0018039    0.1567309     0.0500633     
1.3700000     1.7885299     -0.0017702    0.1552604     0.0495922     
1.3800000     1.7885124     -0.0017371    0.1538036     0.0491255     
1.3900000     1.7884953     -0.0017046    0.1523605     0.0486633     
1.4000000     1.7884785     -0.0016727    0.1509309     0.0482053     
1.4100000     1.7884620     -0.0016414    0.1495148     0.0477517     
1.4200000     1.7884458     -0.0016108    0.1481120     0.0473024     
1.4300000     1.7884299     -0.0015806    0.1467223     0.0468573     
1.4400000     1.7884143     -0.0015511    0.1453457     0.0464164     
1.4500000     1.7883990     -0.0015221    0.1439820     0.0459796     
1.4600000     1.7883840     -0.0014936    0.1426311     0.0455470     
1.4700000     1.7883693     -0.0014657    0.1412929     0.0451184     
1.4800000     1.7883549     -0.0014383    0.1399672     0.0446939     
1.4900000     1.7883407     -0.0014114    0.1386540     0.0442733     
1.5000000     1.7883268     -0.0013850    0.1373531     0.0438568     
1.5100000     1.7883131     -0.0013591    0.1360644     0.0434441     
1.5200000     1.7882997     -0.0013337    0.1347878     0.0430353     
1.5300000     1.7882865     -0.0013088    0.1335232     0.0426304     
1.5400000     1.7882736     -0.0012843    0.1322705     0.0422293     
1.5500000     1.7882610     -0.0012603    0.1310295     0.0418319     
1.5600000     1.7882486     -0.0012367    0.1298002     0.0414383     
1.5700000     1.7882364     -0.0012136    0.1285824     0.0410484     
1.5800000     1.7882244     -0.0011909    0.1273761     0.0406622     
1.5900000     1.7882127     -0.0011687    0.1261810     0.0402796     
1.6000000     1.7882011     -0.0011468    0.1249972     0.0399006     
1.6100000     1.7881898     -0.0011254    0.1238245     0.0395252     
1.6200000     1.7881787     -0.0011043    0.1226628     0.0391533     
