#   delta = 1.000, g = 0.600, ds = 0.010
#   s             E             dE       ||Gammaod||    ||eta2B||    

0.9800000     1.2967430     -0.0434123    0.7684300     0.2464837     
0.9900000     1.2963140     -0.0427244    0.7623332     0.2445177     
1.0000000     1.2958919     -0.0420476    0.7562857     0.2425675     
1.0100000     1.2954764     -0.0413816    0.7502872     0.2406331     
1.0200000     1.2950675     -0.0407262    0.7443371     0.2387143     
1.0300000     1.2946651     -0.0400812    0.7384352     0.2368110     
1.0400000     1.2942691     -0.0394466    0.7325809     0.2349230     
1.0500000     1.2938793     -0.0388221    0.7267739     0.2330502     
1.0600000     1.2934957     -0.0382076    0.7210137     0.2311925     
1.0700000     1.2931182     -0.0376029    0.7153001     0.2293497     
1.0800000     1.2927467     -0.0370078    0.7096325     0.2275218     
1.0900000     1.2923810     -0.0364222    0.7040106     0.2257086     
1.1000000     1.2920211     -0.0358459    0.6984340     0.2239100     
1.1100000     1.2916669     -0.0352789    0.6929023     0.2221259     
1.1200000     1.2913183     -0.0347208    0.6874151     0.2203561     
1.1300000     1.2909753     -0.0341717    0.6819721     0.2186006     
1.1400000     1.2906376     -0.0336313    0.6765729     0.2168592     
1.1500000     1.2903053     -0.0330995    0.6712171     0.2151318     
1.1600000     1.2899783     -0.0325762    0.6659043     0.2134183     
1.1700000     1.2896564     -0.0320612    0.6606343     0.2117186     
1.1800000     1.2893396     -0.0315544    0.6554065     0.2100325     
1.1900000     1.2890278     -0.0310557    0.6502208     0.2083600     
1.2000000     1.2887210     -0.0305649    0.6450767     0.2067009     
1.2100000     1.2884190     -0.0300819    0.6399738     0.2050552     
1.2200000     1.2881217     -0.0296066    0.6349119     0.2034227     
1.2300000     1.2878292     -0.0291388    0.6298905     0.2018033     
1.2400000     1.2875413     -0.0286785    0.6249095     0.2001969     
1.2500000     1.2872579     -0.0282255    0.6199683     0.1986034     
1.2600000     1.2869790     -0.0277797    0.6150667     0.1970227     
1.2700000     1.2867045     -0.0273410    0.6102043     0.1954547     
1.2800000     1.2864344     -0.0269092    0.6053809     0.1938993     
1.2900000     1.2861685     -0.0264843    0.6005961     0.1923564     
1.3000000     1.2859068     -0.0260662    0.5958496     0.1908258     
1.3100000     1.2856493     -0.0256547    0.5911410     0.1893076     
1.3200000     1.2853958     -0.0252497    0.5864701     0.1878015     
1.3300000     1.2851463     -0.0248512    0.5818365     0.1863075     
1.3400000     1.2849007     -0.0244589    0.5772399     0.1848255     
1.3500000     1.2846591     -0.0240729    0.5726800     0.1833554     
1.3600000     1.2844212     -0.0236931    0.5681566     0.1818970     
1.3700000     1.2841871     -0.0233192    0.5636693     0.1804504     
1.3800000     1.2839567     -0.0229513    0.5592178     0.1790153     
1.3900000     1.2837299     -0.0225892    0.5548018     0.1775918     
1.4000000     1.2835067     -0.0222329    0.5504211     0.1761796     
1.4100000     1.2832871     -0.0218822    0.5460753     0.1747788     
1.4200000     1.2830708     -0.0215370    0.5417641     0.1733892     
1.4300000     1.2828580     -0.0211973    0.5374873     0.1720107     
1.4400000     1.2826486     -0.0208631    0.5332447     0.1706433     
1.4500000     1.2824425     -0.0205341    0.5290358     0.1692868     
1.4600000     1.2822396     -0.0202103    0.5248604     0.1679412     
1.4700000     1.2820399     -0.0198916    0.5207183     0.1666064     
1.4800000     1.2818433     -0.0195780    0.5166092     0.1652822     
1.4900000     1.2816499     -0.0192694    0.5125328     0.1639687     
1.5000000     1.2814595     -0.0189656    0.5084888     0.1626657     
1.5100000     1.2812721     -0.0186667    0.5044770     0.1613731     
1.5200000     1.2810877     -0.0183725    0.5004971     0.1600908     
1.5300000     1.2809062     -0.0180829    0.4965489     0.1588188     
1.5400000     1.2807275     -0.0177979    0.4926321     0.1575570     
1.5500000     1.2805516     -0.0175174    0.4887464     0.1563053     
1.5600000     1.2803786     -0.0172414    0.4848916     0.1550636     
1.5700000     1.2802082     -0.0169697    0.4810674     0.1538318     
1.5800000     1.2800405     -0.0167024    0.4772737     0.1526099     
1.5900000     1.2798755     -0.0164392    0.4735100     0.1513977     
1.6000000     1.2797131     -0.0161803    0.4697763     0.1501953     
1.6100000     1.2795532     -0.0159254    0.4660722     0.1490024     
1.6200000     1.2793959     -0.0156745    0.4623975     0.1478191     
1.6300000     1.2792410     -0.0154276    0.4587520     0.1466452     
1.6400000     1.2790886     -0.0151846    0.4551354     0.1454808     
1.6500000     1.2789386     -0.0149455    0.4515476     0.1443256     
1.6600000     1.2787909     -0.0147101    0.4479882     0.1431797     
1.6700000     1.2786456     -0.0144785    0.4444570     0.1420429     
1.6800000     1.2785025     -0.0142505    0.4409538     0.1409152     
1.6900000     1.2783617     -0.0140261    0.4374785     0.1397965     
1.7000000     1.2782231     -0.0138053    0.4340306     0.1386867     
1.7100000     1.2780867     -0.0135879    0.4306102     0.1375859     
1.7200000     1.2779525     -0.0133740    0.4272168     0.1364938     
1.7300000     1.2778204     -0.0131634    0.4238503     0.1354104     
1.7400000     1.2776903     -0.0129562    0.4205105     0.1343357     
1.7500000     1.2775623     -0.0127523    0.4171972     0.1332695     
1.7600000     1.2774363     -0.0125515    0.4139101     0.1322119     
1.7700000     1.2773123     -0.0123540    0.4106490     0.1311627     
1.7800000     1.2771902     -0.0121595    0.4074138     0.1301219     
1.7900000     1.2770701     -0.0119682    0.4042042     0.1290894     
1.8000000     1.2769519     -0.0117798    0.4010200     0.1280651     
1.8100000     1.2768355     -0.0115944    0.3978610     0.1270490     
1.8200000     1.2767209     -0.0114120    0.3947270     0.1260410     
1.8300000     1.2766082     -0.0112324    0.3916178     0.1250410     
1.8400000     1.2764972     -0.0110557    0.3885333     0.1240491     
1.8500000     1.2763880     -0.0108817    0.3854731     0.1230650     
1.8600000     1.2762805     -0.0107105    0.3824371     0.1220888     
1.8700000     1.2761747     -0.0105420    0.3794252     0.1211204     
1.8800000     1.2760705     -0.0103761    0.3764371     0.1201597     
1.8900000     1.2759680     -0.0102129    0.3734726     0.1192066     
1.9000000     1.2758671     -0.0100522    0.3705316     0.1182612     
1.9100000     1.2757678     -0.0098941    0.3676138     0.1173233     
1.9200000     1.2756700     -0.0097385    0.3647191     0.1163928     
1.9300000     1.2755738     -0.0095853    0.3618472     0.1154698     
1.9400000     1.2754791     -0.0094345    0.3589981     0.1145542     
1.9500000     1.2753859     -0.0092861    0.3561715     0.1136458     
1.9600000     1.2752942     -0.0091401    0.3533672     0.1127447     
1.9700000     1.2752039     -0.0089963    0.3505851     0.1118508     
1.9800000     1.2751150     -0.0088548    0.3478250     0.1109639     
1.9900000     1.2750275     -0.0087156    0.3450866     0.1100842     
2.0000000     1.2749414     -0.0085785    0.3423699     0.1092115     
2.0100000     1.2748567     -0.0084436    0.3396747     0.1083457     
2.0200000     1.2747733     -0.0083108    0.3370008     0.1074868     
2.0300000     1.2746912     -0.0081802    0.3343479     0.1066347     
2.0400000     1.2746104     -0.0080515    0.3317160     0.1057895     
2.0500000     1.2745308     -0.0079249    0.3291049     0.1049509     
2.0600000     1.2744525     -0.0078003    0.3265145     0.1041191     
2.0700000     1.2743755     -0.0076777    0.3239444     0.1032938     
2.0800000     1.2742996     -0.0075570    0.3213947     0.1024752     
2.0900000     1.2742250     -0.0074382    0.3188651     0.1016630     
2.1000000     1.2741515     -0.0073213    0.3163554     0.1008574     
2.1100000     1.2740792     -0.0072062    0.3138656     0.1000581     
2.1200000     1.2740080     -0.0070929    0.3113954     0.0992652     
2.1300000     1.2739379     -0.0069814    0.3089447     0.0984786     
2.1400000     1.2738689     -0.0068716    0.3065133     0.0976983     
2.1500000     1.2738011     -0.0067636    0.3041011     0.0969242     
2.1600000     1.2737343     -0.0066573    0.3017080     0.0961562     
2.1700000     1.2736685     -0.0065527    0.2993337     0.0953944     
2.1800000     1.2736038     -0.0064497    0.2969781     0.0946386     
2.1900000     1.2735401     -0.0063483    0.2946412     0.0938888     
