#   delta = 1.000, g = 0.400, ds = 0.100
#   s             E             dE       ||Gammaod||    ||eta2B||    

0.0000000     1.6000000     -0.0933333    1.1313708     0.3590110     
0.1000000     1.5910795     -0.0850818    1.0315995     0.3590110     
0.2000000     1.5836608     -0.0707675    0.9408780     0.3274864     
0.3000000     1.5774886     -0.0588831    0.8583256     0.2987508     
0.4000000     1.5723518     -0.0490096    0.7831613     0.2725535     
0.5000000     1.5680756     -0.0408024    0.7146891     0.2486671     
0.6000000     1.5645150     -0.0339769    0.6522870     0.2268852     
0.7000000     1.5615496     -0.0282984    0.5953967     0.2070206     
0.8000000     1.5590795     -0.0235727    0.5435161     0.1889028     
0.9000000     1.5570218     -0.0196387    0.4961926     0.1723771     
1.0000000     1.5553073     -0.0163631    0.4530169     0.1573023     
1.1000000     1.5538787     -0.0136351    0.4136189     0.1435503     
1.2000000     1.5526882     -0.0113628    0.3776629     0.1310043     
1.3000000     1.5516961     -0.0094699    0.3448444     0.1195579     
1.4000000     1.5508692     -0.0078927    0.3148865     0.1091143     
1.5000000     1.5501800     -0.0065786    0.2875379     0.0995852     
1.6000000     1.5496056     -0.0054835    0.2625695     0.0908902     
1.7000000     1.5491268     -0.0045708    0.2397728     0.0829560     
1.8000000     1.5487276     -0.0038102    0.2189581     0.0757158     
1.9000000     1.5483949     -0.0031762    0.1999523     0.0691087     
2.0000000     1.5481175     -0.0026478    0.1825976     0.0630791     
2.1000000     1.5478863     -0.0022073    0.1667502     0.0575765     
2.2000000     1.5476936     -0.0018402    0.1522789     0.0525546     
2.3000000     1.5475329     -0.0015341    0.1390640     0.0479714     
2.4000000     1.5473989     -0.0012790    0.1269961     0.0437884     
2.5000000     1.5472873     -0.0010663    0.1159758     0.0399707     
2.6000000     1.5471942     -0.0008890    0.1059118     0.0364862     
2.7000000     1.5471165     -0.0007411    0.0967212     0.0333059     
2.8000000     1.5470518     -0.0006179    0.0883281     0.0304031     
2.9000000     1.5469979     -0.0005152    0.0806633     0.0277536     
3.0000000     1.5469529     -0.0004295    0.0736636     0.0253352     
3.1000000     1.5469154     -0.0003581    0.0672712     0.0231277     
3.2000000     1.5468842     -0.0002986    0.0614334     0.0211128     
3.3000000     1.5468581     -0.0002489    0.0561022     0.0192735     
3.4000000     1.5468364     -0.0002075    0.0512336     0.0175947     
3.5000000     1.5468183     -0.0001730    0.0467873     0.0160622     
3.6000000     1.5468032     -0.0001443    0.0427269     0.0146633     
3.7000000     1.5467906     -0.0001203    0.0390188     0.0133863     
3.8000000     1.5467801     -0.0001003    0.0356324     0.0122206     
3.9000000     1.5467714     -0.0000836    0.0325399     0.0111565     
4.0000000     1.5467641     -0.0000697    0.0297157     0.0101851     
4.1000000     1.5467580     -0.0000581    0.0271366     0.0092984     
4.2000000     1.5467529     -0.0000485    0.0247812     0.0084889     
4.3000000     1.5467487     -0.0000404    0.0226303     0.0077499     
4.4000000     1.5467452     -0.0000337    0.0206660     0.0070753     
4.5000000     1.5467423     -0.0000281    0.0188722     0.0064595     
4.6000000     1.5467398     -0.0000234    0.0172341     0.0058973     
4.7000000     1.5467378     -0.0000195    0.0157381     0.0053840     
4.8000000     1.5467361     -0.0000163    0.0143719     0.0049155     
4.9000000     1.5467347     -0.0000136    0.0131244     0.0044877     
5.0000000     1.5467335     -0.0000113    0.0119850     0.0040972     
5.1000000     1.5467325     -0.0000094    0.0109446     0.0037407     
5.2000000     1.5467317     -0.0000079    0.0099945     0.0034152     
5.3000000     1.5467310     -0.0000066    0.0091268     0.0031180     
5.4000000     1.5467304     -0.0000055    0.0083345     0.0028468     
5.5000000     1.5467299     -0.0000046    0.0076109     0.0025991     
5.6000000     1.5467296     -0.0000038    0.0069502     0.0023730     
5.7000000     1.5467292     -0.0000032    0.0063467     0.0021665     
5.8000000     1.5467290     -0.0000026    0.0057957     0.0019781     
5.9000000     1.5467287     -0.0000022    0.0052925     0.0018060     
6.0000000     1.5467285     -0.0000018    0.0048330     0.0016489     
6.1000000     1.5467284     -0.0000015    0.0044134     0.0015055     
6.2000000     1.5467282     -0.0000013    0.0040302     0.0013745     
6.3000000     1.5467281     -0.0000011    0.0036803     0.0012550     
6.4000000     1.5467280     -0.0000009    0.0033607     0.0011458     
6.5000000     1.5467280     -0.0000007    0.0030689     0.0010462     
6.6000000     1.5467279     -0.0000006    0.0028024     0.0009552     
6.7000000     1.5467279     -0.0000005    0.0025591     0.0008721     
6.8000000     1.5467278     -0.0000004    0.0023369     0.0007963     
