#   delta = 1.000, g = 0.300, ds = 0.010
#   s             E             dE       ||Gammaod||    ||eta2B||    

0.0000000     1.7000000     -0.0525000    0.8485281     0.2692582     
0.0100000     1.6994774     -0.0520200    0.8407860     0.2692582     
0.0200000     1.6989643     -0.0510753    0.8331159     0.2668055     
0.0300000     1.6984605     -0.0501478    0.8255169     0.2643753     
0.0400000     1.6979659     -0.0492373    0.8179886     0.2619672     
0.0500000     1.6974802     -0.0483434    0.8105300     0.2595812     
0.0600000     1.6970033     -0.0474659    0.8031407     0.2572170     
0.0700000     1.6965352     -0.0466044    0.7958198     0.2548744     
0.0800000     1.6960755     -0.0457586    0.7885667     0.2525533     
0.0900000     1.6956241     -0.0449283    0.7813809     0.2502533     
0.1000000     1.6951809     -0.0441131    0.7742615     0.2479744     
0.1100000     1.6947458     -0.0433128    0.7672081     0.2457163     
0.1200000     1.6943186     -0.0425271    0.7602199     0.2434789     
0.1300000     1.6938991     -0.0417558    0.7532962     0.2412619     
0.1400000     1.6934872     -0.0409985    0.7464366     0.2390652     
0.1500000     1.6930828     -0.0402550    0.7396404     0.2368885     
0.1600000     1.6926858     -0.0395251    0.7329069     0.2347317     
0.1700000     1.6922959     -0.0388085    0.7262356     0.2325947     
0.1800000     1.6919131     -0.0381049    0.7196258     0.2304771     
0.1900000     1.6915372     -0.0374142    0.7130770     0.2283789     
0.2000000     1.6911682     -0.0367360    0.7065886     0.2262999     
0.2100000     1.6908058     -0.0360702    0.7001600     0.2242398     
0.2200000     1.6904500     -0.0354166    0.6937907     0.2221986     
0.2300000     1.6901007     -0.0347748    0.6874800     0.2201760     
0.2400000     1.6897577     -0.0341447    0.6812274     0.2181719     
0.2500000     1.6894209     -0.0335261    0.6750324     0.2161861     
0.2600000     1.6890902     -0.0329188    0.6688944     0.2142184     
0.2700000     1.6887654     -0.0323225    0.6628128     0.2122687     
0.2800000     1.6884466     -0.0317370    0.6567872     0.2103367     
0.2900000     1.6881336     -0.0311622    0.6508170     0.2084225     
0.3000000     1.6878262     -0.0305979    0.6449017     0.2065257     
0.3100000     1.6875244     -0.0300438    0.6390407     0.2046462     
0.3200000     1.6872280     -0.0294998    0.6332335     0.2027838     
0.3300000     1.6869370     -0.0289657    0.6274797     0.2009385     
0.3400000     1.6866513     -0.0284413    0.6217787     0.1991100     
0.3500000     1.6863708     -0.0279264    0.6161300     0.1972982     
0.3600000     1.6860953     -0.0274209    0.6105331     0.1955029     
0.3700000     1.6858248     -0.0269246    0.6049876     0.1937240     
0.3800000     1.6855592     -0.0264372    0.5994929     0.1919613     
0.3900000     1.6852984     -0.0259588    0.5940486     0.1902147     
0.4000000     1.6850424     -0.0254890    0.5886542     0.1884841     
0.4100000     1.6847910     -0.0250278    0.5833093     0.1867692     
0.4200000     1.6845441     -0.0245749    0.5780133     0.1850700     
0.4300000     1.6843017     -0.0241303    0.5727658     0.1833863     
0.4400000     1.6840636     -0.0236937    0.5675663     0.1817179     
0.4500000     1.6838299     -0.0232651    0.5624145     0.1800648     
0.4600000     1.6836004     -0.0228442    0.5573098     0.1784267     
0.4700000     1.6833751     -0.0224310    0.5522518     0.1768036     
0.4800000     1.6831538     -0.0220252    0.5472401     0.1751953     
0.4900000     1.6829366     -0.0216269    0.5422742     0.1736016     
0.5000000     1.6827232     -0.0212357    0.5373537     0.1720225     
0.5100000     1.6825138     -0.0208517    0.5324782     0.1704578     
0.5200000     1.6823081     -0.0204746    0.5276473     0.1689073     
0.5300000     1.6821061     -0.0201044    0.5228606     0.1673710     
0.5400000     1.6819078     -0.0197408    0.5181175     0.1658487     
0.5500000     1.6817131     -0.0193839    0.5134178     0.1643402     
0.5600000     1.6815219     -0.0190335    0.5087610     0.1628455     
0.5700000     1.6813341     -0.0186893    0.5041468     0.1613645     
0.5800000     1.6811498     -0.0183515    0.4995747     0.1598969     
0.5900000     1.6809687     -0.0180197    0.4950443     0.1584427     
0.6000000     1.6807910     -0.0176940    0.4905552     0.1570018     
