#   delta = 1.000, g = 0.100, ds = 0.100
#   s             E             dE       ||Gammaod||    ||eta2B||    

0.0000000     1.9000000     -0.0058333    0.2828427     0.0897527     
0.1000000     1.8994450     -0.0052667    0.2553860     0.0897527     
0.2000000     1.8989926     -0.0042935    0.2305983     0.0810315     
0.3000000     1.8986237     -0.0035002    0.2082193     0.0731579     
0.4000000     1.8983230     -0.0028535    0.1880142     0.0660496     
0.5000000     1.8980779     -0.0023264    0.1697712     0.0596320     
0.6000000     1.8978780     -0.0018966    0.1532994     0.0538382     
0.7000000     1.8977151     -0.0015463    0.1384265     0.0486074     
0.8000000     1.8975822     -0.0012607    0.1249972     0.0438849     
0.9000000     1.8974739     -0.0010278    0.1128712     0.0396213     
1.0000000     1.8973856     -0.0008380    0.1019218     0.0357719     
1.1000000     1.8973136     -0.0006832    0.0920349     0.0322966     
1.2000000     1.8972549     -0.0005570    0.0831072     0.0291590     
1.3000000     1.8972071     -0.0004541    0.0750456     0.0263262     
1.4000000     1.8971681     -0.0003703    0.0677661     0.0237687     
1.5000000     1.8971363     -0.0003019    0.0611928     0.0214596     
1.6000000     1.8971103     -0.0002461    0.0552572     0.0193749     
1.7000000     1.8970892     -0.0002007    0.0498973     0.0174927     
1.8000000     1.8970719     -0.0001636    0.0450574     0.0157934     
1.9000000     1.8970579     -0.0001334    0.0406870     0.0142592     
2.0000000     1.8970464     -0.0001088    0.0367405     0.0128740     
2.1000000     1.8970371     -0.0000887    0.0331768     0.0116234     
2.2000000     1.8970295     -0.0000723    0.0299587     0.0104943     
2.3000000     1.8970233     -0.0000589    0.0270528     0.0094749     
2.4000000     1.8970182     -0.0000481    0.0244288     0.0085546     
2.5000000     1.8970141     -0.0000392    0.0220593     0.0077236     
2.6000000     1.8970107     -0.0000319    0.0199196     0.0069733     
2.7000000     1.8970080     -0.0000260    0.0179875     0.0062960     
2.8000000     1.8970057     -0.0000212    0.0162428     0.0056844     
2.9000000     1.8970039     -0.0000173    0.0146673     0.0051323     
3.0000000     1.8970024     -0.0000141    0.0132446     0.0046338     
3.1000000     1.8970012     -0.0000115    0.0119600     0.0041837     
3.2000000     1.8970002     -0.0000094    0.0107999     0.0037773     
3.3000000     1.8969994     -0.0000077    0.0097523     0.0034104     
3.4000000     1.8969987     -0.0000062    0.0088064     0.0030792     
3.5000000     1.8969982     -0.0000051    0.0079522     0.0027801     
3.6000000     1.8969978     -0.0000041    0.0071809     0.0025101     
3.7000000     1.8969974     -0.0000034    0.0064844     0.0022663     
3.8000000     1.8969971     -0.0000028    0.0058554     0.0020461     
3.9000000     1.8969969     -0.0000022    0.0052874     0.0018474     
4.0000000     1.8969967     -0.0000018    0.0047746     0.0016680     
4.1000000     1.8969965     -0.0000015    0.0043115     0.0015060     
4.2000000     1.8969964     -0.0000012    0.0038933     0.0013597     
4.3000000     1.8969963     -0.0000010    0.0035156     0.0012277     
4.4000000     1.8969962     -0.0000008    0.0031746     0.0011084     
4.5000000     1.8969961     -0.0000007    0.0028667     0.0010008     
4.6000000     1.8969961     -0.0000005    0.0025886     0.0009036     
4.7000000     1.8969960     -0.0000004    0.0023375     0.0008158     
4.8000000     1.8969960     -0.0000004    0.0021108     0.0007366     
4.9000000     1.8969960     -0.0000003    0.0019061     0.0006651     
5.0000000     1.8969959     -0.0000002    0.0017212     0.0006005     
5.1000000     1.8969959     -0.0000002    0.0015542     0.0005421     
5.2000000     1.8969959     -0.0000002    0.0014035     0.0004895     
5.3000000     1.8969959     -0.0000001    0.0012673     0.0004420     
5.4000000     1.8969959     -0.0000001    0.0011444     0.0003990     
5.5000000     1.8969959     -0.0000001    0.0010334     0.0003603     
5.6000000     1.8969959     -0.0000001    0.0009332     0.0003253     
5.7000000     1.8969959     -0.0000001    0.0008427     0.0002937     
5.8000000     1.8969959     -0.0000000    0.0007609     0.0002652     
5.9000000     1.8969959     -0.0000000    0.0006871     0.0002394     
6.0000000     1.8969959     -0.0000000    0.0006205     0.0002162     
6.1000000     1.8969958     -0.0000000    0.0005603     0.0001952     
6.2000000     1.8969958     -0.0000000    0.0005059     0.0001762     
6.3000000     1.8969958     -0.0000000    0.0004569     0.0001591     
6.4000000     1.8969958     -0.0000000    0.0004125     0.0001437     
6.5000000     1.8969958     -0.0000000    0.0003725     0.0001297     
6.6000000     1.8969958     -0.0000000    0.0003364     0.0001171     
6.7000000     1.8969958     -0.0000000    0.0003038     0.0001057     
6.8000000     1.8969958     -0.0000000    0.0002743     0.0000955     
6.9000000     1.8969958     -0.0000000    0.0002477     0.0000862     
7.0000000     1.8969958     -0.0000000    0.0002237     0.0000778     
7.1000000     1.8969958     -0.0000000    0.0002020     0.0000703     
7.2000000     1.8969958     -0.0000000    0.0001824     0.0000635     
7.3000000     1.8969958     -0.0000000    0.0001647     0.0000573     
7.4000000     1.8969958     -0.0000000    0.0001487     0.0000517     
7.5000000     1.8969958     -0.0000000    0.0001343     0.0000467     
7.6000000     1.8969958     -0.0000000    0.0001213     0.0000422     
7.7000000     1.8969958     -0.0000000    0.0001095     0.0000381     
7.8000000     1.8969958     -0.0000000    0.0000989     0.0000344     
7.9000000     1.8969958     -0.0000000    0.0000893     0.0000310     
8.0000000     1.8969958     -0.0000000    0.0000806     0.0000280     
8.1000000     1.8969958     -0.0000000    0.0000728     0.0000253     
8.2000000     1.8969958     -0.0000000    0.0000657     0.0000228     
8.3000000     1.8969958     -0.0000000    0.0000594     0.0000206     
8.4000000     1.8969958     -0.0000000    0.0000536     0.0000186     
8.5000000     1.8969958     -0.0000000    0.0000484     0.0000168     
8.6000000     1.8969958     -0.0000000    0.0000437     0.0000152     
8.7000000     1.8969958     -0.0000000    0.0000395     0.0000137     
8.8000000     1.8969958     -0.0000000    0.0000356     0.0000124     
8.9000000     1.8969958     -0.0000000    0.0000322     0.0000112     
9.0000000     1.8969958     -0.0000000    0.0000291     0.0000101     
9.1000000     1.8969958     -0.0000000    0.0000262     0.0000091     
9.2000000     1.8969958     -0.0000000    0.0000237     0.0000082     
9.3000000     1.8969958     -0.0000000    0.0000214     0.0000074     
9.4000000     1.8969958     -0.0000000    0.0000193     0.0000067     
9.5000000     1.8969958     -0.0000000    0.0000174     0.0000061     
9.6000000     1.8969958     -0.0000000    0.0000158     0.0000055     
9.7000000     1.8969958     -0.0000000    0.0000142     0.0000049     
9.8000000     1.8969958     -0.0000000    0.0000128     0.0000045     
9.9000000     1.8969958     -0.0000000    0.0000116     0.0000040     
10.0000000    1.8969958     -0.0000000    0.0000105     0.0000036     
