#   delta = 1.000, g = 0.800, ds = 0.010
#   s             E             dE       ||Gammaod||    ||eta2B||    

0.0000000     1.2000000     -0.3733333    2.2627417     0.7180220     
0.0100000     1.1962811     -0.3704558    2.2454077     0.7180220     
0.0200000     1.1926182     -0.3648705    2.2282320     0.7127504     
0.0300000     1.1890105     -0.3593760    2.2112128     0.7075207     
0.0400000     1.1854571     -0.3539706    2.1943481     0.7023325     
0.0500000     1.1819572     -0.3486528    2.1776359     0.6971854     
0.0600000     1.1785097     -0.3434209    2.1610744     0.6920790     
0.0700000     1.1751140     -0.3382733    2.1446618     0.6870129     
0.0800000     1.1717691     -0.3332087    2.1283962     0.6819867     
0.0900000     1.1684742     -0.3282253    2.1122759     0.6770001     
0.1000000     1.1652286     -0.3233219    2.0962991     0.6720526     
0.1100000     1.1620314     -0.3184970    2.0804641     0.6671440     
0.1200000     1.1588819     -0.3137491    2.0647692     0.6622738     
0.1300000     1.1557793     -0.3090769    2.0492128     0.6574417     
0.1400000     1.1527229     -0.3044790    2.0337931     0.6526474     
0.1500000     1.1497120     -0.2999542    2.0185087     0.6478905     
0.1600000     1.1467457     -0.2955011    2.0033580     0.6431706     
0.1700000     1.1438235     -0.2911185    1.9883393     0.6384875     
0.1800000     1.1409445     -0.2868052    1.9734511     0.6338407     
0.1900000     1.1381082     -0.2825599    1.9586920     0.6292300     
0.2000000     1.1353138     -0.2783814    1.9440604     0.6246551     
0.2100000     1.1325608     -0.2742686    1.9295550     0.6201156     
0.2200000     1.1298484     -0.2702204    1.9151742     0.6156112     
0.2300000     1.1271760     -0.2662356    1.9009167     0.6111415     
0.2400000     1.1245429     -0.2623131    1.8867810     0.6067064     
0.2500000     1.1219487     -0.2584519    1.8727659     0.6023054     
0.2600000     1.1193926     -0.2546509    1.8588699     0.5979383     
0.2700000     1.1168741     -0.2509091    1.8450917     0.5936048     
0.2800000     1.1143925     -0.2472254    1.8314301     0.5893046     
0.2900000     1.1119474     -0.2435989    1.8178837     0.5850373     
0.3000000     1.1095381     -0.2400286    1.8044513     0.5808028     
0.3100000     1.1071641     -0.2365135    1.7911316     0.5766007     
0.3200000     1.1048249     -0.2330528    1.7779234     0.5724307     
0.3300000     1.1025198     -0.2296455    1.7648256     0.5682926     
0.3400000     1.1002485     -0.2262906    1.7518369     0.5641861     
0.3500000     1.0980103     -0.2229874    1.7389561     0.5601109     
0.3600000     1.0958047     -0.2197349    1.7261821     0.5560668     
0.3700000     1.0936314     -0.2165323    1.7135137     0.5520534     
0.3800000     1.0914896     -0.2133788    1.7009499     0.5480706     
0.3900000     1.0893791     -0.2102735    1.6884896     0.5441181     
0.4000000     1.0872992     -0.2072157    1.6761315     0.5401955     
0.4100000     1.0852496     -0.2042046    1.6638748     0.5363027     
0.4200000     1.0832298     -0.2012393    1.6517183     0.5324394     
0.4300000     1.0812392     -0.1983192    1.6396609     0.5286053     
0.4400000     1.0792776     -0.1954434    1.6277017     0.5248003     
0.4500000     1.0773443     -0.1926114    1.6158397     0.5210240     
0.4600000     1.0754391     -0.1898222    1.6040738     0.5172763     
0.4700000     1.0735614     -0.1870753    1.5924031     0.5135568     
0.4800000     1.0717110     -0.1843700    1.5808266     0.5098654     
0.4900000     1.0698872     -0.1817055    1.5693433     0.5062018     
0.5000000     1.0680898     -0.1790813    1.5579523     0.5025658     
0.5100000     1.0663183     -0.1764966    1.5466527     0.4989571     
0.5200000     1.0645724     -0.1739508    1.5354436     0.4953756     
0.5300000     1.0628517     -0.1714433    1.5243241     0.4918210     
0.5400000     1.0611558     -0.1689734    1.5132932     0.4882930     
0.5500000     1.0594843     -0.1665407    1.5023501     0.4847915     
0.5600000     1.0578368     -0.1641443    1.4914939     0.4813163     
0.5700000     1.0562131     -0.1617839    1.4807239     0.4778671     
0.5800000     1.0546126     -0.1594588    1.4700390     0.4744437     
0.5900000     1.0530352     -0.1571684    1.4594386     0.4710460     
0.6000000     1.0514804     -0.1549122    1.4489217     0.4676736     
0.6100000     1.0499480     -0.1526896    1.4384876     0.4643264     
0.6200000     1.0484375     -0.1505002    1.4281355     0.4610042     
0.6300000     1.0469486     -0.1483433    1.4178646     0.4577068     
0.6400000     1.0454811     -0.1462184    1.4076741     0.4544339     
0.6500000     1.0440346     -0.1441252    1.3975632     0.4511855     
0.6600000     1.0426089     -0.1420630    1.3875312     0.4479612     
0.6700000     1.0412035     -0.1400313    1.3775774     0.4447610     
0.6800000     1.0398182     -0.1380297    1.3677010     0.4415845     
0.6900000     1.0384526     -0.1360578    1.3579012     0.4384316     
0.7000000     1.0371066     -0.1341150    1.3481774     0.4353021     
0.7100000     1.0357798     -0.1322009    1.3385289     0.4321959     
0.7200000     1.0344720     -0.1303150    1.3289549     0.4291127     
0.7300000     1.0331828     -0.1284569    1.3194547     0.4260524     
0.7400000     1.0319119     -0.1266262    1.3100277     0.4230147     
0.7500000     1.0306592     -0.1248224    1.3006732     0.4199995     
0.7600000     1.0294243     -0.1230451    1.2913906     0.4170066     
0.7700000     1.0282070     -0.1212940    1.2821791     0.4140359     
0.7800000     1.0270070     -0.1195685    1.2730382     0.4110871     
0.7900000     1.0258241     -0.1178683    1.2639671     0.4081601     
0.8000000     1.0246580     -0.1161931    1.2549653     0.4052548     
0.8100000     1.0235085     -0.1145424    1.2460321     0.4023708     
0.8200000     1.0223752     -0.1129158    1.2371669     0.3995081     
0.8300000     1.0212581     -0.1113130    1.2283690     0.3966666     
0.8400000     1.0201569     -0.1097336    1.2196380     0.3938459     
0.8500000     1.0190712     -0.1081773    1.2109732     0.3910460     
0.8600000     1.0180010     -0.1066437    1.2023740     0.3882668     
0.8700000     1.0169459     -0.1051324    1.1938397     0.3855079     
0.8800000     1.0159058     -0.1036431    1.1853700     0.3827694     
0.8900000     1.0148804     -0.1021755    1.1769641     0.3800510     
0.9000000     1.0138695     -0.1007293    1.1686215     0.3773525     
0.9100000     1.0128729     -0.0993040    1.1603417     0.3746738     
0.9200000     1.0118904     -0.0978995    1.1521241     0.3720148     
0.9300000     1.0109218     -0.0965153    1.1439681     0.3693753     
0.9400000     1.0099669     -0.0951512    1.1358733     0.3667551     
0.9500000     1.0090255     -0.0938069    1.1278391     0.3641542     
0.9600000     1.0080974     -0.0924820    1.1198649     0.3615722     
0.9700000     1.0071825     -0.0911763    1.1119503     0.3590092     
0.9800000     1.0062804     -0.0898895    1.1040948     0.3564649     
0.9900000     1.0053910     -0.0886213    1.0962978     0.3539392     
1.0000000     1.0045142     -0.0873714    1.0885588     0.3514319     
1.0100000     1.0036498     -0.0861395    1.0808774     0.3489430     
1.0200000     1.0027975     -0.0849254    1.0732530     0.3464723     
1.0300000     1.0019573     -0.0837289    1.0656851     0.3440195     
1.0400000     1.0011289     -0.0825495    1.0581734     0.3415847     
1.0500000     1.0003122     -0.0813871    1.0507173     0.3391676     
1.0600000     0.9995069     -0.0802415    1.0433163     0.3367681     
1.0700000     0.9987130     -0.0791123    1.0359700     0.3343861     
1.0800000     0.9979303     -0.0779994    1.0286779     0.3320215     
1.0900000     0.9971586     -0.0769025    1.0214396     0.3296740     
1.1000000     0.9963977     -0.0758213    1.0142546     0.3273437     
1.1100000     0.9956476     -0.0747556    1.0071225     0.3250302     
1.1200000     0.9949079     -0.0737052    1.0000428     0.3227336     
1.1300000     0.9941787     -0.0726699    0.9930151     0.3204537     
1.1400000     0.9934597     -0.0716494    0.9860390     0.3181903     
1.1500000     0.9927508     -0.0706435    0.9791140     0.3159434     
1.1600000     0.9920519     -0.0696520    0.9722397     0.3137128     
1.1700000     0.9913627     -0.0686747    0.9654158     0.3114983     
1.1800000     0.9906833     -0.0677113    0.9586417     0.3092999     
1.1900000     0.9900133     -0.0667617    0.9519172     0.3071174     
1.2000000     0.9893528     -0.0658257    0.9452417     0.3049508     
1.2100000     0.9887015     -0.0649031    0.9386149     0.3027998     
1.2200000     0.9880594     -0.0639936    0.9320364     0.3006644     
1.2300000     0.9874262     -0.0630970    0.9255058     0.2985444     
1.2400000     0.9868020     -0.0622133    0.9190227     0.2964398     
1.2500000     0.9861864     -0.0613421    0.9125867     0.2943504     
1.2600000     0.9855795     -0.0604834    0.9061975     0.2922761     
1.2700000     0.9849811     -0.0596369    0.8998546     0.2902167     
1.2800000     0.9843911     -0.0588024    0.8935578     0.2881723     
1.2900000     0.9838093     -0.0579798    0.8873066     0.2861426     
1.3000000     0.9832356     -0.0571689    0.8811006     0.2841275     
1.3100000     0.9826700     -0.0563695    0.8749395     0.2821270     
1.3200000     0.9821123     -0.0555814    0.8688230     0.2801409     
1.3300000     0.9815624     -0.0548046    0.8627507     0.2781691     
1.3400000     0.9810202     -0.0540388    0.8567222     0.2762116     
1.3500000     0.9804855     -0.0532838    0.8507372     0.2742681     
1.3600000     0.9799583     -0.0525396    0.8447954     0.2723386     
1.3700000     0.9794385     -0.0518058    0.8388964     0.2704230     
1.3800000     0.9789259     -0.0510825    0.8330398     0.2685212     
1.3900000     0.9784205     -0.0503695    0.8272254     0.2666331     
1.4000000     0.9779222     -0.0496665    0.8214528     0.2647585     
1.4100000     0.9774308     -0.0489735    0.8157217     0.2628975     
1.4200000     0.9769463     -0.0482903    0.8100318     0.2610497     
1.4300000     0.9764685     -0.0476167    0.8043827     0.2592153     
1.4400000     0.9759974     -0.0469527    0.7987740     0.2573940     
1.4500000     0.9755329     -0.0462980    0.7932056     0.2555859     
1.4600000     0.9750748     -0.0456526    0.7876771     0.2537906     
1.4700000     0.9746232     -0.0450163    0.7821882     0.2520083     
1.4800000     0.9741778     -0.0443890    0.7767386     0.2502387     
1.4900000     0.9737386     -0.0437706    0.7713279     0.2484819     
1.5000000     0.9733056     -0.0431608    0.7659559     0.2467376     
1.5100000     0.9728786     -0.0425597    0.7606222     0.2450058     
1.5200000     0.9724575     -0.0419670    0.7553267     0.2432864     
1.5300000     0.9720423     -0.0413827    0.7500689     0.2415793     
1.5400000     0.9716329     -0.0408067    0.7448486     0.2398845     
1.5500000     0.9712292     -0.0402387    0.7396655     0.2382017     
1.5600000     0.9708311     -0.0396787    0.7345194     0.2365310     
1.5700000     0.9704385     -0.0391266    0.7294099     0.2348723     
1.5800000     0.9700514     -0.0385823    0.7243367     0.2332254     
1.5900000     0.9696697     -0.0380457    0.7192997     0.2315903     
1.6000000     0.9692933     -0.0375166    0.7142984     0.2299668     
1.6100000     0.9689222     -0.0369949    0.7093327     0.2283550     
1.6200000     0.9685562     -0.0364805    0.7044023     0.2267547     
1.6300000     0.9681953     -0.0359734    0.6995068     0.2251658     
1.6400000     0.9678394     -0.0354734    0.6946461     0.2235882     
1.6500000     0.9674884     -0.0349805    0.6898199     0.2220219     
1.6600000     0.9671424     -0.0344944    0.6850279     0.2204667     
1.6700000     0.9668011     -0.0340152    0.6802698     0.2189227     
1.6800000     0.9664646     -0.0335427    0.6755455     0.2173896     
1.6900000     0.9661328     -0.0330768    0.6708546     0.2158675     
1.7000000     0.9658055     -0.0326174    0.6661968     0.2143562     
1.7100000     0.9654829     -0.0321645    0.6615721     0.2128557     
1.7200000     0.9651647     -0.0317180    0.6569800     0.2113658     
1.7300000     0.9648509     -0.0312777    0.6524204     0.2098866     
1.7400000     0.9645415     -0.0308435    0.6478930     0.2084179     
1.7500000     0.9642363     -0.0304155    0.6433976     0.2069596     
1.7600000     0.9639355     -0.0299934    0.6389339     0.2055118     
1.7700000     0.9636387     -0.0295773    0.6345017     0.2040742     
1.7800000     0.9633461     -0.0291670    0.6301008     0.2026468     
1.7900000     0.9630576     -0.0287624    0.6257309     0.2012296     
1.8000000     0.9627731     -0.0283634    0.6213919     0.1998224     
1.8100000     0.9624925     -0.0279701    0.6170834     0.1984253     
1.8200000     0.9622158     -0.0275822    0.6128052     0.1970381     
1.8300000     0.9619430     -0.0271998    0.6085572     0.1956607     
1.8400000     0.9616739     -0.0268227    0.6043390     0.1942931     
1.8500000     0.9614086     -0.0264509    0.6001506     0.1929352     
1.8600000     0.9611469     -0.0260843    0.5959916     0.1915869     
1.8700000     0.9608889     -0.0257228    0.5918618     0.1902482     
1.8800000     0.9606344     -0.0253664    0.5877611     0.1889190     
1.8900000     0.9603835     -0.0250149    0.5836892     0.1875992     
1.9000000     0.9601361     -0.0246683    0.5796459     0.1862888     
1.9100000     0.9598920     -0.0243266    0.5756310     0.1849877     
1.9200000     0.9596514     -0.0239896    0.5716443     0.1836958     
1.9300000     0.9594141     -0.0236574    0.5676855     0.1824130     
1.9400000     0.9591801     -0.0233297    0.5637545     0.1811393     
1.9500000     0.9589493     -0.0230067    0.5598511     0.1798747     
1.9600000     0.9587218     -0.0226881    0.5559751     0.1786190     
1.9700000     0.9584973     -0.0223740    0.5521263     0.1773721     
1.9800000     0.9582760     -0.0220643    0.5483044     0.1761341     
1.9900000     0.9580578     -0.0217589    0.5445093     0.1749049     
2.0000000     0.9578426     -0.0214577    0.5407407     0.1736844     
2.0100000     0.9576303     -0.0211607    0.5369986     0.1724725     
2.0200000     0.9574210     -0.0208679    0.5332826     0.1712691     
2.0300000     0.9572146     -0.0205791    0.5295927     0.1700743     
2.0400000     0.9570110     -0.0202944    0.5259286     0.1688879     
2.0500000     0.9568103     -0.0200136    0.5222901     0.1677099     
2.0600000     0.9566124     -0.0197368    0.5186770     0.1665402     
2.0700000     0.9564172     -0.0194637    0.5150892     0.1653788     
2.0800000     0.9562246     -0.0191945    0.5115265     0.1642255     
2.0900000     0.9560348     -0.0189291    0.5079887     0.1630805     
2.1000000     0.9558476     -0.0186673    0.5044756     0.1619435     
2.1100000     0.9556629     -0.0184092    0.5009870     0.1608145     
2.1200000     0.9554809     -0.0181546    0.4975228     0.1596935     
2.1300000     0.9553013     -0.0179036    0.4940827     0.1585804     
2.1400000     0.9551242     -0.0176561    0.4906667     0.1574751     
2.1500000     0.9549496     -0.0174120    0.4872745     0.1563777     
2.1600000     0.9547774     -0.0171713    0.4839060     0.1552880     
2.1700000     0.9546076     -0.0169340    0.4805610     0.1542059     
2.1800000     0.9544401     -0.0166999    0.4772393     0.1531315     
2.1900000     0.9542749     -0.0164691    0.4739408     0.1520647     
2.2000000     0.9541121     -0.0162416    0.4706652     0.1510054     
2.2100000     0.9539514     -0.0160171    0.4674125     0.1499535     
2.2200000     0.9537930     -0.0157958    0.4641825     0.1489091     
2.2300000     0.9536368     -0.0155776    0.4609749     0.1478720     
