#   delta = 1.000, g = 0.500, ds = 0.010
#   s             E             dE       ||Gammaod||    ||eta2B||    

0.0000000     1.5000000     -0.1458333    1.4142136     0.4487637     
0.0100000     1.4985479     -0.1445837    1.4021372     0.4487637     
0.0200000     1.4971205     -0.1421322    1.3901700     0.4449741     
0.0300000     1.4957172     -0.1397232    1.3783109     0.4412170     
0.0400000     1.4943377     -0.1373560    1.3665588     0.4374921     
0.0500000     1.4929816     -0.1350297    1.3549125     0.4337992     
0.0600000     1.4916484     -0.1327437    1.3433710     0.4301380     
0.0700000     1.4903378     -0.1304972    1.3319332     0.4265082     
0.0800000     1.4890494     -0.1282895    1.3205980     0.4229095     
0.0900000     1.4877828     -0.1261200    1.3093643     0.4193416     
0.1000000     1.4865376     -0.1239879    1.2982313     0.4158043     
0.1100000     1.4853134     -0.1218925    1.2871977     0.4122973     
0.1200000     1.4841099     -0.1198333    1.2762626     0.4088203     
0.1300000     1.4829268     -0.1178095    1.2654250     0.4053731     
0.1400000     1.4817636     -0.1158205    1.2546840     0.4019554     
0.1500000     1.4806200     -0.1138658    1.2440385     0.3985669     
0.1600000     1.4794958     -0.1119446    1.2334876     0.3952074     
0.1700000     1.4783905     -0.1100565    1.2230304     0.3918766     
0.1800000     1.4773038     -0.1082008    1.2126659     0.3885743     
0.1900000     1.4762355     -0.1063769    1.2023931     0.3853001     
0.2000000     1.4751852     -0.1045843    1.1922113     0.3820540     
0.2100000     1.4741526     -0.1028225    1.1821194     0.3788355     
0.2200000     1.4731373     -0.1010908    1.1721167     0.3756446     
0.2300000     1.4721392     -0.0993887    1.1622021     0.3724808     
0.2400000     1.4711578     -0.0977158    1.1523749     0.3693441     
0.2500000     1.4701930     -0.0960715    1.1426342     0.3662341     
0.2600000     1.4692444     -0.0944553    1.1329791     0.3631506     
0.2700000     1.4683118     -0.0928667    1.1234089     0.3600934     
0.2800000     1.4673948     -0.0913053    1.1139226     0.3570623     
0.2900000     1.4664933     -0.0897704    1.1045196     0.3540570     
0.3000000     1.4656069     -0.0882618    1.0951989     0.3510773     
0.3100000     1.4647354     -0.0867789    1.0859597     0.3481230     
