#   delta = 1.000, g = 0.700, ds = 0.100
#   s             E             dE       ||Gammaod||    ||eta2B||    

0.0000000     1.3000000     -0.2858333    1.9798990     0.6282692     
0.1000000     1.2725552     -0.2631093    1.8232264     0.6282692     
0.2000000     1.2492445     -0.2235686    1.6803697     0.5798297     
0.3000000     1.2294199     -0.1902024    1.5498208     0.5352843     
0.4000000     1.2125414     -0.1619852    1.4302906     0.4942888     
0.5000000     1.1981578     -0.1380781    1.3206685     0.4565372     
0.6000000     1.1858903     -0.1177903    1.2199904     0.4217546     
0.7000000     1.1754204     -0.1005503    1.1274136     0.3896935     
0.8000000     1.1664793     -0.0858829    1.0421970     0.3601295     
0.9000000     1.1588399     -0.0733913    0.9636850     0.3328586     
1.0000000     1.1523096     -0.0627435    0.8912943     0.3076954     
1.1000000     1.1467254     -0.0536603    0.8245038     0.2844703     
1.2000000     1.1419487     -0.0459068    0.7628453     0.2630287     
1.3000000     1.1378614     -0.0392844    0.7058973     0.2432290     
1.4000000     1.1343632     -0.0336254    0.6532782     0.2249415     
1.5000000     1.1313686     -0.0287876    0.6046419     0.2080474     
1.6000000     1.1288047     -0.0246502    0.5596738     0.1924379     
1.7000000     1.1266090     -0.0211107    0.5180865     0.1780127     
1.8000000     1.1247286     -0.0180818    0.4796176     0.1646800     
1.9000000     1.1231179     -0.0154893    0.4440269     0.1523555     
2.0000000     1.1217381     -0.0132699    0.4110940     0.1409614     
2.1000000     1.1205561     -0.0113694    0.3806164     0.1304262     
2.2000000     1.1195433     -0.0097418    0.3524081     0.1206842     
2.3000000     1.1186756     -0.0083478    0.3262976     0.1116748     
2.4000000     1.1179321     -0.0071537    0.3021271     0.1033421     
2.5000000     1.1172949     -0.0061306    0.2797511     0.0956348     
2.6000000     1.1167490     -0.0052541    0.2590351     0.0885053     
2.7000000     1.1162811     -0.0045031    0.2398553     0.0819099     
2.8000000     1.1158802     -0.0038596    0.2220971     0.0758081     
2.9000000     1.1155366     -0.0033081    0.2056546     0.0701628     
3.0000000     1.1152421     -0.0028354    0.1904300     0.0649395     
3.1000000     1.1149897     -0.0024304    0.1763328     0.0601063     
3.2000000     1.1147735     -0.0020832    0.1632793     0.0556341     
3.3000000     1.1145881     -0.0017857    0.1511921     0.0514957     
3.4000000     1.1144293     -0.0015307    0.1399996     0.0476659     
3.5000000     1.1142932     -0.0013121    0.1296356     0.0441217     
3.6000000     1.1141765     -0.0011247    0.1200385     0.0408417     
3.7000000     1.1140765     -0.0009641    0.1111517     0.0378060     
3.8000000     1.1139909     -0.0008265    0.1029226     0.0349965     
3.9000000     1.1139174     -0.0007085    0.0953025     0.0323961     
4.0000000     1.1138545     -0.0006073    0.0882463     0.0299894     
4.1000000     1.1138006     -0.0005206    0.0817123     0.0277617     
4.2000000     1.1137544     -0.0004463    0.0756619     0.0256998     
4.3000000     1.1137148     -0.0003826    0.0700593     0.0237912     
4.4000000     1.1136809     -0.0003280    0.0648714     0.0220246     
4.5000000     1.1136519     -0.0002811    0.0600675     0.0203893     
4.6000000     1.1136270     -0.0002410    0.0556191     0.0188756     
4.7000000     1.1136057     -0.0002066    0.0515000     0.0174744     
4.8000000     1.1135874     -0.0001771    0.0476859     0.0161773     
4.9000000     1.1135717     -0.0001518    0.0441541     0.0149766     
5.0000000     1.1135583     -0.0001302    0.0408838     0.0138651     
5.1000000     1.1135468     -0.0001116    0.0378556     0.0128362     
5.2000000     1.1135370     -0.0000956    0.0350516     0.0118837     
5.3000000     1.1135286     -0.0000820    0.0324553     0.0110019     
5.4000000     1.1135214     -0.0000703    0.0300512     0.0101856     
5.5000000     1.1135152     -0.0000603    0.0278251     0.0094299     
5.6000000     1.1135099     -0.0000517    0.0257638     0.0087303     
5.7000000     1.1135054     -0.0000443    0.0238552     0.0080826     
5.8000000     1.1135015     -0.0000380    0.0220880     0.0074831     
5.9000000     1.1134982     -0.0000325    0.0204516     0.0069280     
6.0000000     1.1134954     -0.0000279    0.0189364     0.0064141     
6.1000000     1.1134929     -0.0000239    0.0175335     0.0059384     
6.2000000     1.1134908     -0.0000205    0.0162345     0.0054979     
6.3000000     1.1134891     -0.0000176    0.0150317     0.0050902     
6.4000000     1.1134875     -0.0000151    0.0139179     0.0047126     
6.5000000     1.1134863     -0.0000129    0.0128867     0.0043631     
6.6000000     1.1134851     -0.0000111    0.0119319     0.0040396     
6.7000000     1.1134842     -0.0000095    0.0110478     0.0037400     
6.8000000     1.1134834     -0.0000081    0.0102292     0.0034627     
6.9000000     1.1134827     -0.0000070    0.0094712     0.0032059     
7.0000000     1.1134821     -0.0000060    0.0087694     0.0029682     
7.1000000     1.1134816     -0.0000051    0.0081196     0.0027481     
7.2000000     1.1134812     -0.0000044    0.0075180     0.0025443     
7.3000000     1.1134808     -0.0000038    0.0069609     0.0023557     
7.4000000     1.1134805     -0.0000032    0.0064451     0.0021810     
7.5000000     1.1134802     -0.0000028    0.0059675     0.0020193     
7.6000000     1.1134800     -0.0000024    0.0055252     0.0018696     
7.7000000     1.1134798     -0.0000020    0.0051158     0.0017310     
7.8000000     1.1134796     -0.0000017    0.0047367     0.0016026     
7.9000000     1.1134795     -0.0000015    0.0043857     0.0014838     
8.0000000     1.1134794     -0.0000013    0.0040607     0.0013738     
8.1000000     1.1134793     -0.0000011    0.0037597     0.0012719     
8.2000000     1.1134792     -0.0000009    0.0034811     0.0011776     
8.3000000     1.1134791     -0.0000008    0.0032231     0.0010903     
8.4000000     1.1134790     -0.0000007    0.0029843     0.0010095     
8.5000000     1.1134790     -0.0000006    0.0027631     0.0009347     
8.6000000     1.1134790     -0.0000005    0.0025583     0.0008654     
8.7000000     1.1134789     -0.0000004    0.0023687     0.0008012     
8.8000000     1.1134789     -0.0000004    0.0021932     0.0007418     
8.9000000     1.1134789     -0.0000003    0.0020307     0.0006868     
9.0000000     1.1134788     -0.0000003    0.0018802     0.0006359     
9.1000000     1.1134788     -0.0000002    0.0017408     0.0005888     
9.2000000     1.1134788     -0.0000002    0.0016118     0.0005451     
9.3000000     1.1134788     -0.0000002    0.0014923     0.0005047     
9.4000000     1.1134788     -0.0000001    0.0013817     0.0004673     
9.5000000     1.1134788     -0.0000001    0.0012793     0.0004327     
9.6000000     1.1134788     -0.0000001    0.0011845     0.0004006     
9.7000000     1.1134788     -0.0000001    0.0010967     0.0003709     
9.8000000     1.1134788     -0.0000001    0.0010155     0.0003434     
9.9000000     1.1134787     -0.0000001    0.0009402     0.0003179     
10.0000000    1.1134787     -0.0000001    0.0008705     0.0002944     
