#   delta = 1.000, g = 0.700, ds = 0.010
#   s             E             dE       ||Gammaod||    ||eta2B||    

0.0000000     1.3000000     -0.2858333    1.9798990     0.6282692     
0.0100000     1.2971531     -0.2835481    1.9641514     0.6282692     
0.0200000     1.2943509     -0.2790929    1.9485462     0.6234167     
0.0300000     1.2915928     -0.2747114    1.9330815     0.6186036     
0.0400000     1.2888779     -0.2704024    1.9177558     0.6138295     
0.0500000     1.2862056     -0.2661645    1.9025674     0.6090940     
0.0600000     1.2835751     -0.2619965    1.8875149     0.6043968     
0.0700000     1.2809858     -0.2578971    1.8725966     0.5997376     
0.0800000     1.2784370     -0.2538650    1.8578109     0.5951160     
0.0900000     1.2759280     -0.2498992    1.8431565     0.5905317     
0.1000000     1.2734582     -0.2459983    1.8286318     0.5859843     
0.1100000     1.2710269     -0.2421613    1.8142353     0.5814735     
0.1200000     1.2686336     -0.2383870    1.7999656     0.5769989     
0.1300000     1.2662775     -0.2346743    1.7858213     0.5725603     
0.1400000     1.2639581     -0.2310221    1.7718011     0.5681574     
0.1500000     1.2616747     -0.2274294    1.7579034     0.5637897     
0.1600000     1.2594269     -0.2238951    1.7441271     0.5594571     
0.1700000     1.2572140     -0.2204181    1.7304707     0.5551591     
0.1800000     1.2550354     -0.2169976    1.7169330     0.5508955     
0.1900000     1.2528906     -0.2136324    1.7035126     0.5466660     
0.2000000     1.2507791     -0.2103216    1.6902083     0.5424703     
0.2100000     1.2487003     -0.2070644    1.6770188     0.5383081     
0.2200000     1.2466536     -0.2038597    1.6639430     0.5341790     
0.2300000     1.2446386     -0.2007066    1.6509795     0.5300829     
0.2400000     1.2426548     -0.1976043    1.6381272     0.5260193     
0.2500000     1.2407016     -0.1945519    1.6253849     0.5219881     
0.2600000     1.2387786     -0.1915485    1.6127515     0.5179890     
0.2700000     1.2368852     -0.1885932    1.6002258     0.5140216     
0.2800000     1.2350210     -0.1856853    1.5878066     0.5100857     
0.2900000     1.2331856     -0.1828240    1.5754929     0.5061811     
0.3000000     1.2313785     -0.1800084    1.5632836     0.5023074     
0.3100000     1.2295991     -0.1772378    1.5511776     0.4984644     
0.3200000     1.2278472     -0.1745114    1.5391737     0.4946518     
0.3300000     1.2261222     -0.1718284    1.5272711     0.4908695     
0.3400000     1.2244237     -0.1691882    1.5154685     0.4871170     
0.3500000     1.2227512     -0.1665899    1.5037651     0.4833942     
0.3600000     1.2211045     -0.1640329    1.4921598     0.4797008     
0.3700000     1.2194830     -0.1615166    1.4806516     0.4760365     
0.3800000     1.2178864     -0.1590401    1.4692395     0.4724012     
0.3900000     1.2163143     -0.1566028    1.4579226     0.4687945     
0.4000000     1.2147662     -0.1542042    1.4466998     0.4652162     
0.4100000     1.2132419     -0.1518434    1.4355704     0.4616662     
0.4200000     1.2117408     -0.1495200    1.4245332     0.4581440     
0.4300000     1.2102628     -0.1472332    1.4135875     0.4546496     
0.4400000     1.2088073     -0.1449825    1.4027324     0.4511827     
0.4500000     1.2073741     -0.1427673    1.3919668     0.4477430     
0.4600000     1.2059628     -0.1405869    1.3812900     0.4443303     
0.4700000     1.2045730     -0.1384408    1.3707010     0.4409444     
0.4800000     1.2032044     -0.1363284    1.3601991     0.4375851     
0.4900000     1.2018567     -0.1342493    1.3497834     0.4342521     
0.5000000     1.2005295     -0.1322027    1.3394530     0.4309453     
0.5100000     1.1992226     -0.1301882    1.3292071     0.4276643     
0.5200000     1.1979356     -0.1282053    1.3190449     0.4244091     
0.5300000     1.1966682     -0.1262534    1.3089656     0.4211793     
0.5400000     1.1954201     -0.1243320    1.2989684     0.4179748     
0.5500000     1.1941909     -0.1224407    1.2890526     0.4147954     
0.5600000     1.1929805     -0.1205788    1.2792173     0.4116408     
0.5700000     1.1917884     -0.1187461    1.2694618     0.4085109     
0.5800000     1.1906145     -0.1169419    1.2597853     0.4054054     
0.5900000     1.1894584     -0.1151658    1.2501871     0.4023241     
0.6000000     1.1883199     -0.1134174    1.2406665     0.3992669     
0.6100000     1.1871986     -0.1116961    1.2312227     0.3962336     
0.6200000     1.1860943     -0.1100017    1.2218550     0.3932238     
0.6300000     1.1850068     -0.1083335    1.2125627     0.3902375     
0.6400000     1.1839358     -0.1066913    1.2033452     0.3872745     
0.6500000     1.1828810     -0.1050745    1.1942016     0.3843346     
0.6600000     1.1818422     -0.1034828    1.1851314     0.3814175     
0.6700000     1.1808192     -0.1019157    1.1761338     0.3785231     
0.6800000     1.1798116     -0.1003730    1.1672082     0.3756513     
0.6900000     1.1788193     -0.0988541    1.1583539     0.3728017     
0.7000000     1.1778419     -0.0973586    1.1495704     0.3699743     
0.7100000     1.1768794     -0.0958863    1.1408568     0.3671689     
0.7200000     1.1759314     -0.0944368    1.1322127     0.3643852     
