#   delta = 1.000, g = 0.400, ds = 0.010
#   s             E             dE       ||Gammaod||    ||eta2B||    

0.0000000     1.6000000     -0.0933333    1.1313708     0.3590110     
0.0100000     1.5990708     -0.0925068    1.1213788     0.3590110     
0.0200000     1.5981579     -0.0908821    1.1114781     0.3558575     
0.0300000     1.5972611     -0.0892863    1.1016678     0.3527319     
0.0400000     1.5963800     -0.0877189    1.0919470     0.3496340     
0.0500000     1.5955143     -0.0861794    1.0823149     0.3465635     
0.0600000     1.5946639     -0.0846672    1.0727705     0.3435203     
0.0700000     1.5938284     -0.0831819    1.0633130     0.3405040     
0.0800000     1.5930075     -0.0817230    1.0539416     0.3375144     
0.0900000     1.5922010     -0.0802899    1.0446553     0.3345512     
0.1000000     1.5914087     -0.0788823    1.0354533     0.3316143     
0.1100000     1.5906302     -0.0774997    1.0263348     0.3287034     
0.1200000     1.5898654     -0.0761415    1.0172990     0.3258183     
0.1300000     1.5891140     -0.0748074    1.0083451     0.3229586     
0.1400000     1.5883758     -0.0734970    0.9994723     0.3201243     
0.1500000     1.5876505     -0.0722098    0.9906797     0.3173150     
0.1600000     1.5869378     -0.0709453    0.9819666     0.3145306     
0.1700000     1.5862377     -0.0697033    0.9733322     0.3117707     
0.1800000     1.5855498     -0.0684832    0.9647758     0.3090353     
0.1900000     1.5848740     -0.0672846    0.9562965     0.3063241     
0.2000000     1.5842100     -0.0661073    0.9478938     0.3036368     
0.2100000     1.5835576     -0.0649507    0.9395667     0.3009732     
0.2200000     1.5829166     -0.0638146    0.9313146     0.2983332     
0.2300000     1.5822868     -0.0626986    0.9231367     0.2957165     
0.2400000     1.5816681     -0.0616022    0.9150324     0.2931229     
0.2500000     1.5810601     -0.0605252    0.9070010     0.2905522     
0.2600000     1.5804628     -0.0594673    0.8990417     0.2880042     
0.2700000     1.5798760     -0.0584279    0.8911538     0.2854787     
0.2800000     1.5792993     -0.0574069    0.8833367     0.2829755     
0.2900000     1.5787328     -0.0564039    0.8755896     0.2804944     
0.3000000     1.5781762     -0.0554185    0.8679120     0.2780351     
0.3100000     1.5776292     -0.0544506    0.8603032     0.2755976     
0.3200000     1.5770919     -0.0534996    0.8527624     0.2731816     
0.3300000     1.5765639     -0.0525654    0.8452892     0.2707869     
0.3400000     1.5760451     -0.0516477    0.8378827     0.2684133     
0.3500000     1.5755354     -0.0507461    0.8305424     0.2660606     
0.3600000     1.5750346     -0.0498603    0.8232677     0.2637287     
0.3700000     1.5745425     -0.0489901    0.8160580     0.2614174     
0.3800000     1.5740590     -0.0481353    0.8089126     0.2591264     
0.3900000     1.5735840     -0.0472954    0.8018309     0.2568556     
0.4000000     1.5731172     -0.0464704    0.7948123     0.2546049     
0.4100000     1.5726586     -0.0456598    0.7878563     0.2523739     
0.4200000     1.5722080     -0.0448634    0.7809622     0.2501627     
0.4300000     1.5717652     -0.0440811    0.7741296     0.2479709     
0.4400000     1.5713302     -0.0433124    0.7673577     0.2457984     
0.4500000     1.5709027     -0.0425573    0.7606460     0.2436451     
0.4600000     1.5704827     -0.0418154    0.7539940     0.2415107     
0.4700000     1.5700701     -0.0410865    0.7474012     0.2393951     
0.4800000     1.5696646     -0.0403704    0.7408669     0.2372982     
0.4900000     1.5692661     -0.0396669    0.7343906     0.2352197     
0.5000000     1.5688747     -0.0389757    0.7279718     0.2331595     
0.5100000     1.5684900     -0.0382967    0.7216099     0.2311175     
0.5200000     1.5681120     -0.0376295    0.7153045     0.2290934     
0.5300000     1.5677407     -0.0369740    0.7090550     0.2270872     
0.5400000     1.5673758     -0.0363300    0.7028608     0.2250986     
0.5500000     1.5670172     -0.0356973    0.6967216     0.2231275     
0.5600000     1.5666649     -0.0350757    0.6906367     0.2211738     
0.5700000     1.5663187     -0.0344649    0.6846056     0.2192372     
0.5800000     1.5659786     -0.0338648    0.6786280     0.2173177     
0.5900000     1.5656444     -0.0332753    0.6727032     0.2154151     
0.6000000     1.5653160     -0.0326960    0.6668308     0.2135292     
0.6100000     1.5649933     -0.0321269    0.6610103     0.2116599     
0.6200000     1.5646762     -0.0315678    0.6552413     0.2098070     
0.6300000     1.5643647     -0.0310184    0.6495232     0.2079705     
0.6400000     1.5640585     -0.0304787    0.6438556     0.2061501     
0.6500000     1.5637577     -0.0299483    0.6382381     0.2043456     
0.6600000     1.5634622     -0.0294273    0.6326701     0.2025571     
0.6700000     1.5631717     -0.0289153    0.6271513     0.2007843     
0.6800000     1.5628864     -0.0284123    0.6216812     0.1990270     
0.6900000     1.5626059     -0.0279181    0.6162593     0.1972852     
0.7000000     1.5623304     -0.0274326    0.6108852     0.1955588     
0.7100000     1.5620597     -0.0269555    0.6055584     0.1938475     
0.7200000     1.5617936     -0.0264867    0.6002786     0.1921512     
0.7300000     1.5615322     -0.0260261    0.5950453     0.1904698     
0.7400000     1.5612754     -0.0255736    0.5898581     0.1888032     
0.7500000     1.5610230     -0.0251290    0.5847166     0.1871513     
0.7600000     1.5607750     -0.0246921    0.5796203     0.1855139     
0.7700000     1.5605313     -0.0242629    0.5745688     0.1838908     
0.7800000     1.5602918     -0.0238411    0.5695618     0.1822820     
0.7900000     1.5600565     -0.0234267    0.5645988     0.1806874     
0.8000000     1.5598253     -0.0230196    0.5596795     0.1791067     
0.8100000     1.5595981     -0.0226195    0.5548034     0.1775399     
0.8200000     1.5593749     -0.0222264    0.5499701     0.1759869     
0.8300000     1.5591555     -0.0218402    0.5451794     0.1744475     
0.8400000     1.5589400     -0.0214607    0.5404307     0.1729217     
0.8500000     1.5587281     -0.0210878    0.5357237     0.1714092     
0.8600000     1.5585200     -0.0207215    0.5310580     0.1699100     
0.8700000     1.5583155     -0.0203615    0.5264333     0.1684240     
0.8800000     1.5581146     -0.0200078    0.5218492     0.1669510     
0.8900000     1.5579171     -0.0196602    0.5173054     0.1654910     
0.9000000     1.5577231     -0.0193187    0.5128014     0.1640437     
0.9100000     1.5575324     -0.0189832    0.5083369     0.1626092     
0.9200000     1.5573450     -0.0186535    0.5039115     0.1611873     
0.9300000     1.5571609     -0.0183295    0.4995250     0.1597778     
0.9400000     1.5569800     -0.0180112    0.4951769     0.1583807     
0.9500000     1.5568023     -0.0176985    0.4908669     0.1569959     
0.9600000     1.5566276     -0.0173912    0.4865947     0.1556232     
0.9700000     1.5564559     -0.0170892    0.4823599     0.1542625     
0.9800000     1.5562873     -0.0167925    0.4781622     0.1529138     
0.9900000     1.5561216     -0.0165009    0.4740013     0.1515769     
1.0000000     1.5559587     -0.0162145    0.4698768     0.1502518     
1.0100000     1.5557987     -0.0159330    0.4657884     0.1489383     
1.0200000     1.5556414     -0.0156564    0.4617358     0.1476363     
1.0300000     1.5554869     -0.0153847    0.4577187     0.1463457     
1.0400000     1.5553351     -0.0151176    0.4537368     0.1450664     
1.0500000     1.5551859     -0.0148552    0.4497897     0.1437984     
1.0600000     1.5550392     -0.0145974    0.4458771     0.1425414     
1.0700000     1.5548952     -0.0143441    0.4419988     0.1412955     
1.0800000     1.5547536     -0.0140951    0.4381543     0.1400605     
1.0900000     1.5546145     -0.0138505    0.4343435     0.1388364     
1.1000000     1.5544778     -0.0136102    0.4305660     0.1376229     
1.1100000     1.5543435     -0.0133740    0.4268215     0.1364202     
1.1200000     1.5542115     -0.0131420    0.4231098     0.1352279     
1.1300000     1.5540818     -0.0129140    0.4194305     0.1340461     
1.1400000     1.5539543     -0.0126899    0.4157833     0.1328747     
1.1500000     1.5538291     -0.0124697    0.4121681     0.1317135     
1.1600000     1.5537060     -0.0122534    0.4085844     0.1305625     
1.1700000     1.5535851     -0.0120408    0.4050320     0.1294216     
1.1800000     1.5534662     -0.0118320    0.4015106     0.1282907     
1.1900000     1.5533494     -0.0116267    0.3980200     0.1271697     
1.2000000     1.5532347     -0.0114250    0.3945599     0.1260586     
1.2100000     1.5531219     -0.0112269    0.3911299     0.1249571     
1.2200000     1.5530111     -0.0110321    0.3877300     0.1238654     
1.2300000     1.5529022     -0.0108408    0.3843597     0.1227831     
1.2400000     1.5527953     -0.0106528    0.3810188     0.1217104     
1.2500000     1.5526901     -0.0104680    0.3777071     0.1206471     
1.2600000     1.5525868     -0.0102865    0.3744242     0.1195930     
1.2700000     1.5524853     -0.0101081    0.3711700     0.1185482     
1.2800000     1.5523855     -0.0099328    0.3679442     0.1175126     
1.2900000     1.5522875     -0.0097605    0.3647466     0.1164860     
1.3000000     1.5521912     -0.0095913    0.3615768     0.1154685     
1.3100000     1.5520965     -0.0094250    0.3584347     0.1144598     
1.3200000     1.5520035     -0.0092616    0.3553200     0.1134600     
1.3300000     1.5519121     -0.0091010    0.3522324     0.1124689     
1.3400000     1.5518222     -0.0089432    0.3491718     0.1114865     
1.3500000     1.5517340     -0.0087881    0.3461378     0.1105127     
1.3600000     1.5516472     -0.0086358    0.3431303     0.1095475     
1.3700000     1.5515620     -0.0084860    0.3401490     0.1085907     
1.3800000     1.5514783     -0.0083389    0.3371937     0.1076422     
1.3900000     1.5513960     -0.0081944    0.3342642     0.1067021     
1.4000000     1.5513151     -0.0080523    0.3313602     0.1057702     
1.4100000     1.5512356     -0.0079127    0.3284814     0.1048465     
1.4200000     1.5511575     -0.0077756    0.3256278     0.1039308     
1.4300000     1.5510808     -0.0076408    0.3227990     0.1030232     
1.4400000     1.5510054     -0.0075083    0.3199949     0.1021235     
1.4500000     1.5509313     -0.0073782    0.3172152     0.1012317     
1.4600000     1.5508585     -0.0072503    0.3144597     0.1003477     
1.4700000     1.5507869     -0.0071246    0.3117282     0.0994714     
1.4800000     1.5507166     -0.0070011    0.3090205     0.0986028     
1.4900000     1.5506475     -0.0068798    0.3063364     0.0977418     
1.5000000     1.5505796     -0.0067606    0.3036757     0.0968883     
1.5100000     1.5505129     -0.0066434    0.3010381     0.0960423     
1.5200000     1.5504473     -0.0065283    0.2984235     0.0952037     
1.5300000     1.5503829     -0.0064151    0.2958316     0.0943725     
1.5400000     1.5503196     -0.0063040    0.2932623     0.0935485     
1.5500000     1.5502573     -0.0061947    0.2907154     0.0927317     
1.5600000     1.5501962     -0.0060874    0.2881906     0.0919221     
1.5700000     1.5501361     -0.0059819    0.2856878     0.0911196     
1.5800000     1.5500771     -0.0058782    0.2832068     0.0903241     
1.5900000     1.5500191     -0.0057764    0.2807474     0.0895355     
1.6000000     1.5499621     -0.0056763    0.2783094     0.0887538     
1.6100000     1.5499060     -0.0055779    0.2758926     0.0879790     
1.6200000     1.5498510     -0.0054813    0.2734969     0.0872110     
1.6300000     1.5497969     -0.0053863    0.2711219     0.0864497     
1.6400000     1.5497437     -0.0052930    0.2687677     0.0856950     
1.6500000     1.5496915     -0.0052013    0.2664339     0.0849469     
1.6600000     1.5496402     -0.0051111    0.2641204     0.0842054     
1.6700000     1.5495897     -0.0050226    0.2618271     0.0834704     
1.6800000     1.5495402     -0.0049356    0.2595537     0.0827418     
1.6900000     1.5494914     -0.0048501    0.2573000     0.0820196     
1.7000000     1.5494436     -0.0047660    0.2550660     0.0813037     
1.7100000     1.5493965     -0.0046835    0.2528514     0.0805940     
1.7200000     1.5493503     -0.0046023    0.2506561     0.0798906     
1.7300000     1.5493049     -0.0045226    0.2484798     0.0791933     
1.7400000     1.5492603     -0.0044442    0.2463225     0.0785021     
1.7500000     1.5492164     -0.0043673    0.2441839     0.0778169     
1.7600000     1.5491733     -0.0042916    0.2420640     0.0771378     
1.7700000     1.5491309     -0.0042173    0.2399624     0.0764645     
1.7800000     1.5490893     -0.0041442    0.2378792     0.0757972     
1.7900000     1.5490484     -0.0040724    0.2358140     0.0751357     
1.8000000     1.5490082     -0.0040019    0.2337668     0.0744800     
1.8100000     1.5489687     -0.0039326    0.2317374     0.0738300     
1.8200000     1.5489299     -0.0038644    0.2297256     0.0731857     
1.8300000     1.5488918     -0.0037975    0.2277314     0.0725471     
1.8400000     1.5488543     -0.0037317    0.2257544     0.0719140     
1.8500000     1.5488175     -0.0036671    0.2237947     0.0712864     
1.8600000     1.5487813     -0.0036036    0.2218519     0.0706644     
1.8700000     1.5487457     -0.0035412    0.2199261     0.0700477     
1.8800000     1.5487108     -0.0034798    0.2180170     0.0694365     
1.8900000     1.5486764     -0.0034196    0.2161245     0.0688306     
1.9000000     1.5486427     -0.0033603    0.2142484     0.0682300     
1.9100000     1.5486095     -0.0033021    0.2123887     0.0676347     
1.9200000     1.5485769     -0.0032449    0.2105451     0.0670445     
1.9300000     1.5485449     -0.0031887    0.2087175     0.0664596     
1.9400000     1.5485134     -0.0031335    0.2069058     0.0658797     
1.9500000     1.5484825     -0.0030792    0.2051098     0.0653049     
1.9600000     1.5484521     -0.0030259    0.2033294     0.0647351     
1.9700000     1.5484223     -0.0029735    0.2015646     0.0641703     
1.9800000     1.5483929     -0.0029220    0.1998150     0.0636105     
1.9900000     1.5483641     -0.0028714    0.1980807     0.0630555     
2.0000000     1.5483357     -0.0028217    0.1963614     0.0625054     
2.0100000     1.5483079     -0.0027728    0.1946570     0.0619601     
2.0200000     1.5482805     -0.0027248    0.1929675     0.0614195     
2.0300000     1.5482536     -0.0026776    0.1912926     0.0608837     
2.0400000     1.5482272     -0.0026313    0.1896323     0.0603526     
2.0500000     1.5482013     -0.0025857    0.1879864     0.0598261     
2.0600000     1.5481757     -0.0025409    0.1863548     0.0593042     
2.0700000     1.5481507     -0.0024969    0.1847374     0.0587868     
2.0800000     1.5481260     -0.0024537    0.1831340     0.0582740     
2.0900000     1.5481018     -0.0024112    0.1815445     0.0577657     
2.1000000     1.5480780     -0.0023694    0.1799689     0.0572618     
2.1100000     1.5480546     -0.0023284    0.1784069     0.0567623     
2.1200000     1.5480316     -0.0022881    0.1768585     0.0562671     
2.1300000     1.5480091     -0.0022485    0.1753236     0.0557763     
2.1400000     1.5479869     -0.0022095    0.1738019     0.0552898     
2.1500000     1.5479651     -0.0021713    0.1722935     0.0548076     
2.1600000     1.5479436     -0.0021337    0.1707982     0.0543295     
2.1700000     1.5479226     -0.0020967    0.1693159     0.0538556     
2.1800000     1.5479019     -0.0020604    0.1678465     0.0533859     
2.1900000     1.5478816     -0.0020248    0.1663898     0.0529203     
2.2000000     1.5478616     -0.0019897    0.1649457     0.0524587     
2.2100000     1.5478419     -0.0019552    0.1635142     0.0520012     
2.2200000     1.5478227     -0.0019214    0.1620952     0.0515476     
2.2300000     1.5478037     -0.0018881    0.1606884     0.0510980     
2.2400000     1.5477851     -0.0018554    0.1592939     0.0506524     
2.2500000     1.5477667     -0.0018233    0.1579114     0.0502106     
2.2600000     1.5477488     -0.0017917    0.1565410     0.0497727     
2.2700000     1.5477311     -0.0017607    0.1551825     0.0493386     
2.2800000     1.5477137     -0.0017302    0.1538358     0.0489084     
2.2900000     1.5476966     -0.0017003    0.1525007     0.0484818     
2.3000000     1.5476798     -0.0016708    0.1511773     0.0480590     
2.3100000     1.5476634     -0.0016419    0.1498653     0.0476399     
2.3200000     1.5476472     -0.0016135    0.1485648     0.0472245     
2.3300000     1.5476312     -0.0015856    0.1472755     0.0468127     
2.3400000     1.5476156     -0.0015581    0.1459974     0.0464044     
2.3500000     1.5476002     -0.0015311    0.1447304     0.0459998     
2.3600000     1.5475851     -0.0015046    0.1434744     0.0455986     
2.3700000     1.5475703     -0.0014786    0.1422293     0.0452010     
2.3800000     1.5475557     -0.0014530    0.1409951     0.0448069     
2.3900000     1.5475413     -0.0014278    0.1397715     0.0444162     
2.4000000     1.5475272     -0.0014031    0.1385586     0.0440289     
2.4100000     1.5475134     -0.0013788    0.1373562     0.0436449     
2.4200000     1.5474998     -0.0013549    0.1361642     0.0432644     
2.4300000     1.5474864     -0.0013315    0.1349826     0.0428871     
2.4400000     1.5474733     -0.0013084    0.1338112     0.0425132     
2.4500000     1.5474604     -0.0012858    0.1326500     0.0421425     
2.4600000     1.5474477     -0.0012635    0.1314989     0.0417751     
2.4700000     1.5474352     -0.0012417    0.1303577     0.0414108     
2.4800000     1.5474230     -0.0012202    0.1292265     0.0410498     
