#   delta = 1.000, g = 0.900, ds = 0.100
#   s             E             dE       ||Gammaod||    ||eta2B||    

0.0000000     1.1000000     -0.4725000    2.5455844     0.8077747     
0.1000000     1.0544919     -0.4377906    2.3597520     0.8077747     
0.2000000     1.0152670     -0.3776086    2.1906071     0.7518983     
0.3000000     0.9813820     -0.3264004    2.0361026     0.7003182     
0.4000000     0.9520530     -0.2826638    1.8945267     0.6526236     
0.5000000     0.9266243     -0.2451866    1.7644365     0.6084619     
0.6000000     0.9045447     -0.2129810    1.6446065     0.5675251     
0.7000000     0.8853483     -0.1852364    1.5339886     0.5295417     
0.8000000     0.8686395     -0.1612822    1.4316801     0.4942693     
0.9000000     0.8540817     -0.1405605    1.3368983     0.4614905     
1.0000000     0.8413867     -0.1226046    1.2489605     0.4310088     
1.1000000     0.8303079     -0.1070218    1.1672675     0.4026464     
1.2000000     0.8206328     -0.0934806    1.0912904     0.3762414     
1.3000000     0.8121788     -0.0816996    1.0205597     0.3516462     
1.4000000     0.8047877     -0.0714393    0.9546568     0.3287260     
1.5000000     0.7983232     -0.0624954    0.8932061     0.3073574     
1.6000000     0.7926667     -0.0546926    0.8358697     0.2874274     
1.7000000     0.7877155     -0.0478805    0.7823418     0.2688320     
1.8000000     0.7833803     -0.0419295    0.7323449     0.2514761     
1.9000000     0.7795836     -0.0367279    0.6856262     0.2352717     
2.0000000     0.7762575     -0.0321792    0.6419547     0.2201381     
2.1000000     0.7733432     -0.0281996    0.6011187     0.2060005     
2.2000000     0.7707893     -0.0247166    0.5629234     0.1927903     
2.3000000     0.7685508     -0.0216673    0.5271896     0.1804437     
2.4000000     0.7665884     -0.0189968    0.4937518     0.1689019     
2.5000000     0.7648680     -0.0166575    0.4624570     0.1581104     
2.6000000     0.7633596     -0.0146078    0.4331633     0.1480185     
2.7000000     0.7620368     -0.0128116    0.4057392     0.1385795     
2.8000000     0.7608768     -0.0112371    0.3800625     0.1297498     
2.9000000     0.7598594     -0.0098569    0.3560196     0.1214891     
3.0000000     0.7589672     -0.0086468    0.3335046     0.1137596     
3.1000000     0.7581845     -0.0075856    0.3124190     0.1065265     
3.2000000     0.7574980     -0.0066550    0.2926708     0.0997571     
3.3000000     0.7568959     -0.0058389    0.2741743     0.0934213     
3.4000000     0.7563677     -0.0051230    0.2568494     0.0874907     
3.5000000     0.7559043     -0.0044951    0.2406212     0.0819389     
3.6000000     0.7554978     -0.0039442    0.2254199     0.0767415     
3.7000000     0.7551413     -0.0034609    0.2111801     0.0718755     
3.8000000     0.7548285     -0.0030369    0.1978407     0.0673196     
3.9000000     0.7545541     -0.0026650    0.1853446     0.0630537     
4.0000000     0.7543133     -0.0023386    0.1736383     0.0590592     
4.1000000     0.7541022     -0.0020522    0.1626717     0.0553187     
4.2000000     0.7539169     -0.0018009    0.1523979     0.0518158     
4.3000000     0.7537544     -0.0015804    0.1427732     0.0485355     
4.4000000     0.7536118     -0.0013869    0.1337564     0.0454634     
4.5000000     0.7534868     -0.0012171    0.1253091     0.0425862     
4.6000000     0.7533771     -0.0010682    0.1173953     0.0398915     
4.7000000     0.7532808     -0.0009374    0.1099813     0.0373677     
4.8000000     0.7531964     -0.0008227    0.1030355     0.0350039     
4.9000000     0.7531224     -0.0007220    0.0965283     0.0327899     
5.0000000     0.7530575     -0.0006336    0.0904321     0.0307161     
5.1000000     0.7530005     -0.0005561    0.0847208     0.0287737     
5.2000000     0.7529506     -0.0004880    0.0793702     0.0269542     
5.3000000     0.7529068     -0.0004283    0.0743574     0.0252500     
5.4000000     0.7528683     -0.0003759    0.0696612     0.0236536     
5.5000000     0.7528346     -0.0003299    0.0652615     0.0221583     
5.6000000     0.7528051     -0.0002895    0.0611397     0.0207576     
5.7000000     0.7527792     -0.0002541    0.0572782     0.0194455     
5.8000000     0.7527565     -0.0002230    0.0536605     0.0182164     
5.9000000     0.7527366     -0.0001957    0.0502713     0.0170650     
6.0000000     0.7527191     -0.0001718    0.0470961     0.0159865     
6.1000000     0.7527038     -0.0001507    0.0441214     0.0149762     
6.2000000     0.7526904     -0.0001323    0.0413346     0.0140297     
6.3000000     0.7526786     -0.0001161    0.0387238     0.0131431     
6.4000000     0.7526683     -0.0001019    0.0362779     0.0123126     
6.5000000     0.7526593     -0.0000894    0.0339865     0.0115345     
6.6000000     0.7526514     -0.0000785    0.0318398     0.0108057     
6.7000000     0.7526445     -0.0000689    0.0298286     0.0101229     
6.8000000     0.7526384     -0.0000605    0.0279445     0.0094833     
