#   delta = 1.000, g = 0.100, ds = 0.010
#   s             E             dE       ||Gammaod||    ||eta2B||    

0.0000000     1.9000000     -0.0058333    0.2828427     0.0897527     
0.0100000     1.8999419     -0.0057767    0.2800968     0.0897527     
0.0200000     1.8998850     -0.0056650    0.2773776     0.0888806     
0.0300000     1.8998292     -0.0055555    0.2746849     0.0880169     
0.0400000     1.8997744     -0.0054481    0.2720183     0.0871617     
0.0500000     1.8997208     -0.0053428    0.2693776     0.0863147     
0.0600000     1.8996681     -0.0052395    0.2667627     0.0854760     
0.0700000     1.8996165     -0.0051383    0.2641731     0.0846454     
0.0800000     1.8995658     -0.0050390    0.2616088     0.0838230     
0.0900000     1.8995162     -0.0049416    0.2590693     0.0830085     
0.1000000     1.8994675     -0.0048461    0.2565546     0.0822019     
0.1100000     1.8994197     -0.0047524    0.2540643     0.0814031     
0.1200000     1.8993729     -0.0046605    0.2515982     0.0806122     
0.1300000     1.8993270     -0.0045705    0.2491561     0.0798289     
0.1400000     1.8992819     -0.0044821    0.2467377     0.0790532     
0.1500000     1.8992377     -0.0043955    0.2443429     0.0782850     
0.1600000     1.8991944     -0.0043106    0.2419713     0.0775244     
0.1700000     1.8991519     -0.0042273    0.2396227     0.0767711     
0.1800000     1.8991103     -0.0041456    0.2372970     0.0760251     
0.1900000     1.8990694     -0.0040654    0.2349939     0.0752864     
0.2000000     1.8990294     -0.0039869    0.2327131     0.0745549     
0.2100000     1.8989901     -0.0039098    0.2304545     0.0738305     
0.2200000     1.8989516     -0.0038343    0.2282179     0.0731131     
0.2300000     1.8989138     -0.0037602    0.2260030     0.0724027     
0.2400000     1.8988767     -0.0036875    0.2238096     0.0716992     
0.2500000     1.8988404     -0.0036162    0.2216376     0.0710025     
0.2600000     1.8988047     -0.0035464    0.2194866     0.0703126     
0.2700000     1.8987698     -0.0034778    0.2173565     0.0696295     
0.2800000     1.8987355     -0.0034106    0.2152472     0.0689529     
0.2900000     1.8987019     -0.0033447    0.2131583     0.0682829     
0.3000000     1.8986689     -0.0032801    0.2110897     0.0676195     
0.3100000     1.8986366     -0.0032167    0.2090412     0.0669625     
0.3200000     1.8986049     -0.0031545    0.2070126     0.0663118     
0.3300000     1.8985738     -0.0030936    0.2050037     0.0656675     
0.3400000     1.8985433     -0.0030338    0.2030143     0.0650295     
0.3500000     1.8985134     -0.0029752    0.2010443     0.0643976     
0.3600000     1.8984841     -0.0029177    0.1990934     0.0637719     
0.3700000     1.8984554     -0.0028613    0.1971614     0.0631523     
0.3800000     1.8984272     -0.0028060    0.1952482     0.0625387     
0.3900000     1.8983995     -0.0027518    0.1933536     0.0619311     
0.4000000     1.8983724     -0.0026986    0.1914774     0.0613294     
0.4100000     1.8983458     -0.0026465    0.1896194     0.0607335     
0.4200000     1.8983197     -0.0025953    0.1877794     0.0601434     
0.4300000     1.8982941     -0.0025452    0.1859573     0.0595590     
0.4400000     1.8982691     -0.0024960    0.1841529     0.0589803     
0.4500000     1.8982445     -0.0024478    0.1823660     0.0584073     
0.4600000     1.8982203     -0.0024005    0.1805965     0.0578398     
0.4700000     1.8981967     -0.0023541    0.1788442     0.0572778     
0.4800000     1.8981735     -0.0023086    0.1771089     0.0567213     
0.4900000     1.8981507     -0.0022640    0.1753904     0.0561702     
0.5000000     1.8981284     -0.0022203    0.1736886     0.0556245     
0.5100000     1.8981065     -0.0021774    0.1720033     0.0550840     
0.5200000     1.8980851     -0.0021353    0.1703344     0.0545488     
0.5300000     1.8980640     -0.0020940    0.1686817     0.0540188     
0.5400000     1.8980434     -0.0020536    0.1670451     0.0534940     
0.5500000     1.8980232     -0.0020139    0.1654243     0.0529743     
0.5600000     1.8980033     -0.0019750    0.1638193     0.0524596     
0.5700000     1.8979839     -0.0019368    0.1622298     0.0519499     
0.5800000     1.8979648     -0.0018994    0.1606558     0.0514451     
0.5900000     1.8979461     -0.0018627    0.1590971     0.0509453     
0.6000000     1.8979277     -0.0018267    0.1575535     0.0504503     
0.6100000     1.8979097     -0.0017914    0.1560249     0.0499602     
0.6200000     1.8978920     -0.0017568    0.1545111     0.0494748     
0.6300000     1.8978747     -0.0017229    0.1530120     0.0489941     
0.6400000     1.8978578     -0.0016896    0.1515275     0.0485181     
0.6500000     1.8978411     -0.0016569    0.1500573     0.0480467     
0.6600000     1.8978248     -0.0016249    0.1486015     0.0475799     
0.6700000     1.8978088     -0.0015935    0.1471598     0.0471176     
0.6800000     1.8977931     -0.0015628    0.1457320     0.0466598     
0.6900000     1.8977777     -0.0015326    0.1443182     0.0462065     
0.7000000     1.8977625     -0.0015029    0.1429180     0.0457576     
0.7100000     1.8977477     -0.0014739    0.1415315     0.0453130     
0.7200000     1.8977332     -0.0014454    0.1401584     0.0448728     
0.7300000     1.8977190     -0.0014175    0.1387986     0.0444368     
0.7400000     1.8977050     -0.0013901    0.1374521     0.0440051     
0.7500000     1.8976913     -0.0013633    0.1361185     0.0435776     
0.7600000     1.8976779     -0.0013369    0.1347980     0.0431542     
0.7700000     1.8976647     -0.0013111    0.1334902     0.0427349     
0.7800000     1.8976518     -0.0012858    0.1321952     0.0423197     
0.7900000     1.8976391     -0.0012609    0.1309127     0.0419086     
0.8000000     1.8976267     -0.0012366    0.1296427     0.0415014     
0.8100000     1.8976145     -0.0012127    0.1283850     0.0410982     
0.8200000     1.8976025     -0.0011893    0.1271395     0.0406989     
0.8300000     1.8975908     -0.0011663    0.1259061     0.0403035     
0.8400000     1.8975793     -0.0011437    0.1246846     0.0399119     
0.8500000     1.8975680     -0.0011216    0.1234750     0.0395242     
0.8600000     1.8975570     -0.0011000    0.1222772     0.0391402     
0.8700000     1.8975462     -0.0010787    0.1210909     0.0387599     
0.8800000     1.8975355     -0.0010579    0.1199162     0.0383834     
0.8900000     1.8975251     -0.0010375    0.1187529     0.0380105     
0.9000000     1.8975149     -0.0010174    0.1176009     0.0376412     
0.9100000     1.8975048     -0.0009978    0.1164600     0.0372755     
0.9200000     1.8974950     -0.0009785    0.1153303     0.0369133     
0.9300000     1.8974854     -0.0009596    0.1142114     0.0365547     
0.9400000     1.8974759     -0.0009410    0.1131035     0.0361996     
0.9500000     1.8974666     -0.0009229    0.1120063     0.0358479     
0.9600000     1.8974575     -0.0009050    0.1109197     0.0354996     
0.9700000     1.8974486     -0.0008875    0.1098437     0.0351547     
0.9800000     1.8974399     -0.0008704    0.1087781     0.0348132     
0.9900000     1.8974313     -0.0008536    0.1077229     0.0344750     
1.0000000     1.8974229     -0.0008371    0.1066779     0.0341400     
1.0100000     1.8974146     -0.0008209    0.1056430     0.0338084     
1.0200000     1.8974066     -0.0008051    0.1046182     0.0334799     
1.0300000     1.8973986     -0.0007895    0.1036034     0.0331547     
1.0400000     1.8973908     -0.0007743    0.1025983     0.0328325     
1.0500000     1.8973832     -0.0007593    0.1016031     0.0325136     
1.0600000     1.8973757     -0.0007446    0.1006174     0.0321977     
1.0700000     1.8973684     -0.0007303    0.0996414     0.0318849     
1.0800000     1.8973612     -0.0007161    0.0986748     0.0315751     
1.0900000     1.8973541     -0.0007023    0.0977176     0.0312684     
1.1000000     1.8973472     -0.0006887    0.0967697     0.0309646     
1.1100000     1.8973404     -0.0006754    0.0958310     0.0306638     
1.1200000     1.8973338     -0.0006624    0.0949014     0.0303659     
1.1300000     1.8973272     -0.0006496    0.0939808     0.0300709     
1.1400000     1.8973208     -0.0006370    0.0930691     0.0297787     
1.1500000     1.8973146     -0.0006247    0.0921663     0.0294894     
1.1600000     1.8973084     -0.0006127    0.0912723     0.0292029     
1.1700000     1.8973024     -0.0006008    0.0903869     0.0289192     
1.1800000     1.8972964     -0.0005892    0.0895101     0.0286383     
1.1900000     1.8972906     -0.0005778    0.0886418     0.0283601     
1.2000000     1.8972849     -0.0005667    0.0877819     0.0280846     
1.2100000     1.8972794     -0.0005557    0.0869304     0.0278117     
1.2200000     1.8972739     -0.0005450    0.0860872     0.0275415     
1.2300000     1.8972685     -0.0005345    0.0852521     0.0272740     
1.2400000     1.8972632     -0.0005241    0.0844251     0.0270090     
1.2500000     1.8972581     -0.0005140    0.0836062     0.0267466     
1.2600000     1.8972530     -0.0005041    0.0827952     0.0264868     
1.2700000     1.8972480     -0.0004944    0.0819920     0.0262294     
1.2800000     1.8972432     -0.0004848    0.0811967     0.0259746     
1.2900000     1.8972384     -0.0004754    0.0804091     0.0257223     
1.3000000     1.8972337     -0.0004663    0.0796291     0.0254724     
1.3100000     1.8972291     -0.0004573    0.0788567     0.0252249     
1.3200000     1.8972246     -0.0004484    0.0780917     0.0249799     
1.3300000     1.8972202     -0.0004398    0.0773342     0.0247372     
1.3400000     1.8972159     -0.0004313    0.0765841     0.0244969     
1.3500000     1.8972116     -0.0004229    0.0758412     0.0242589     
1.3600000     1.8972074     -0.0004148    0.0751055     0.0240232     
1.3700000     1.8972034     -0.0004067    0.0743770     0.0237899     
1.3800000     1.8971993     -0.0003989    0.0736555     0.0235588     
1.3900000     1.8971954     -0.0003912    0.0729411     0.0233299     
1.4000000     1.8971916     -0.0003836    0.0722335     0.0231032     
1.4100000     1.8971878     -0.0003762    0.0715329     0.0228788     
1.4200000     1.8971841     -0.0003690    0.0708390     0.0226565     
1.4300000     1.8971804     -0.0003618    0.0701518     0.0224364     
1.4400000     1.8971769     -0.0003548    0.0694714     0.0222185     
1.4500000     1.8971734     -0.0003480    0.0687975     0.0220026     
1.4600000     1.8971699     -0.0003413    0.0681301     0.0217889     
1.4700000     1.8971666     -0.0003347    0.0674693     0.0215772     
1.4800000     1.8971633     -0.0003282    0.0668148     0.0213676     
1.4900000     1.8971600     -0.0003219    0.0661667     0.0211600     
1.5000000     1.8971569     -0.0003156    0.0655249     0.0209545     
1.5100000     1.8971538     -0.0003095    0.0648893     0.0207509     
1.5200000     1.8971507     -0.0003036    0.0642599     0.0205493     
1.5300000     1.8971477     -0.0002977    0.0636366     0.0203497     
1.5400000     1.8971448     -0.0002920    0.0630193     0.0201520     
1.5500000     1.8971419     -0.0002863    0.0624080     0.0199562     
1.5600000     1.8971391     -0.0002808    0.0618027     0.0197623     
1.5700000     1.8971363     -0.0002754    0.0612032     0.0195704     
1.5800000     1.8971336     -0.0002700    0.0606095     0.0193802     
1.5900000     1.8971309     -0.0002648    0.0600216     0.0191920     
1.6000000     1.8971283     -0.0002597    0.0594394     0.0190055     
1.6100000     1.8971258     -0.0002547    0.0588628     0.0188209     
1.6200000     1.8971233     -0.0002498    0.0582919     0.0186381     
1.6300000     1.8971208     -0.0002449    0.0577265     0.0184570     
1.6400000     1.8971184     -0.0002402    0.0571665     0.0182777     
1.6500000     1.8971160     -0.0002356    0.0566120     0.0181001     
1.6600000     1.8971137     -0.0002310    0.0560629     0.0179243     
1.6700000     1.8971114     -0.0002266    0.0555191     0.0177502     
1.6800000     1.8971092     -0.0002222    0.0549805     0.0175778     
1.6900000     1.8971070     -0.0002179    0.0544472     0.0174070     
1.7000000     1.8971049     -0.0002137    0.0539191     0.0172379     
1.7100000     1.8971028     -0.0002096    0.0533961     0.0170704     
1.7200000     1.8971007     -0.0002055    0.0528782     0.0169046     
1.7300000     1.8970987     -0.0002015    0.0523653     0.0167404     
1.7400000     1.8970967     -0.0001976    0.0518573     0.0165778     
1.7500000     1.8970947     -0.0001938    0.0513543     0.0164167     
1.7600000     1.8970928     -0.0001901    0.0508562     0.0162572     
1.7700000     1.8970909     -0.0001864    0.0503629     0.0160993     
1.7800000     1.8970891     -0.0001828    0.0498744     0.0159429     
1.7900000     1.8970873     -0.0001793    0.0493906     0.0157880     
1.8000000     1.8970855     -0.0001758    0.0489115     0.0156347     
1.8100000     1.8970838     -0.0001724    0.0484371     0.0154828     
1.8200000     1.8970821     -0.0001691    0.0479673     0.0153324     
1.8300000     1.8970804     -0.0001658    0.0475020     0.0151834     
1.8400000     1.8970788     -0.0001626    0.0470412     0.0150360     
1.8500000     1.8970772     -0.0001595    0.0465850     0.0148899     
1.8600000     1.8970756     -0.0001564    0.0461331     0.0147452     
1.8700000     1.8970741     -0.0001534    0.0456856     0.0146020     
