# delta = 1.000, g = 0.500, generator = white          
# ===================================================================================================
#    s              E            dE/ds        ||eta2B||      ||fod||       ||Gammaod||    ||Omega2B||    
# ===================================================================================================

0.00000000     1.50000000     -0.14583333    0.44876373     0.00000000     1.41421356     0.00000000     
0.01000000     1.49854792     -0.14458371    0.44876373     0.00000000     1.40213716     0.00448764     
0.02000000     1.49712045     -0.14213221    0.44497407     0.00000000     1.39016998     0.00893738     
0.03000000     1.49571719     -0.13972322    0.44121696     0.00000000     1.37831089     0.01334955     
0.04000000     1.49433771     -0.13735597    0.43749210     0.00000000     1.36655876     0.01772447     
0.05000000     1.49298158     -0.13502971    0.43379920     0.00000000     1.35491249     0.02206246     
0.06000000     1.49164843     -0.13274369    0.43013799     0.00000000     1.34337098     0.02636384     
0.07000000     1.49033783     -0.13049720    0.42650817     0.00000000     1.33193316     0.03062892     
0.08000000     1.48904941     -0.12828953    0.42290947     0.00000000     1.32059797     0.03485802     
0.09000000     1.48778278     -0.12611998    0.41934161     0.00000000     1.30936434     0.03905143     
0.10000000     1.48653757     -0.12398786    0.41580432     0.00000000     1.29823125     0.04320947     
0.11000000     1.48531340     -0.12189251    0.41229732     0.00000000     1.28719767     0.04733245     
0.12000000     1.48410992     -0.11983326    0.40882034     0.00000000     1.27626260     0.05142065     
0.13000000     1.48292676     -0.11780948    0.40537312     0.00000000     1.26542504     0.05547438     
0.14000000     1.48176358     -0.11582053    0.40195540     0.00000000     1.25468400     0.05949393     
0.15000000     1.48062003     -0.11386579    0.39856691     0.00000000     1.24403852     0.06347960     
0.16000000     1.47949578     -0.11194465    0.39520739     0.00000000     1.23348763     0.06743167     
0.17000000     1.47839050     -0.11005651    0.39187659     0.00000000     1.22303039     0.07135044     
0.18000000     1.47730385     -0.10820079    0.38857425     0.00000000     1.21266587     0.07523618     
0.19000000     1.47623552     -0.10637692    0.38530013     0.00000000     1.20239314     0.07908918     
0.20000000     1.47518519     -0.10458432    0.38205397     0.00000000     1.19221129     0.08290972     
0.21000000     1.47415256     -0.10282245    0.37883553     0.00000000     1.18211943     0.08669807     
0.22000000     1.47313733     -0.10109076    0.37564456     0.00000000     1.17211666     0.09045451     
0.23000000     1.47213919     -0.09938872    0.37248083     0.00000000     1.16220210     0.09417932     
0.24000000     1.47115785     -0.09771580    0.36934408     0.00000000     1.15237490     0.09787276     
0.25000000     1.47019302     -0.09607150    0.36623409     0.00000000     1.14263420     0.10153509     
0.26000000     1.46924443     -0.09445530    0.36315062     0.00000000     1.13297914     0.10516660     
0.27000000     1.46831180     -0.09286671    0.36009344     0.00000000     1.12340890     0.10876753     
0.28000000     1.46739484     -0.09130526    0.35706231     0.00000000     1.11392265     0.11233815     
0.29000000     1.46649330     -0.08977045    0.35405702     0.00000000     1.10451957     0.11587871     
0.30000000     1.46560691     -0.08826183    0.35107732     0.00000000     1.09519887     0.11938948     
0.31000000     1.46473542     -0.08677893    0.34812300     0.00000000     1.08595973     0.12287071     
0.32000000     1.46387857     -0.08532130    0.34519384     0.00000000     1.07680138     0.12632264     
0.33000000     1.46303610     -0.08388851    0.34228962     0.00000000     1.06772305     0.12974553     
0.34000000     1.46220778     -0.08248012    0.33941011     0.00000000     1.05872395     0.13313963     
0.35000000     1.46139337     -0.08109569    0.33655511     0.00000000     1.04980335     0.13650517     
0.36000000     1.46059262     -0.07973482    0.33372439     0.00000000     1.04096047     0.13984241     
0.37000000     1.45980531     -0.07839709    0.33091775     0.00000000     1.03219459     0.14315158     
0.38000000     1.45903121     -0.07708210    0.32813498     0.00000000     1.02350496     0.14643292     
0.39000000     1.45827009     -0.07578945    0.32537587     0.00000000     1.01489088     0.14968667     
0.40000000     1.45752173     -0.07451876    0.32264021     0.00000000     1.00635161     0.15291306     
0.41000000     1.45678591     -0.07326963    0.31992780     0.00000000     0.99788646     0.15611233     
0.42000000     1.45606243     -0.07204171    0.31723843     0.00000000     0.98949472     0.15928471     
0.43000000     1.45535107     -0.07083461    0.31457191     0.00000000     0.98117570     0.16243042     
0.44000000     1.45465163     -0.06964798    0.31192805     0.00000000     0.97292873     0.16554969     
0.45000000     1.45396390     -0.06848147    0.30930663     0.00000000     0.96475311     0.16864274     
0.46000000     1.45328769     -0.06733472    0.30670746     0.00000000     0.95664819     0.17170980     
0.47000000     1.45262281     -0.06620739    0.30413037     0.00000000     0.94861330     0.17475109     
0.48000000     1.45196905     -0.06509915    0.30157514     0.00000000     0.94064779     0.17776683     
0.49000000     1.45132624     -0.06400966    0.29904159     0.00000000     0.93275102     0.18075724     
0.50000000     1.45069418     -0.06293861    0.29652954     0.00000000     0.92492234     0.18372252     
0.51000000     1.45007270     -0.06188567    0.29403880     0.00000000     0.91716112     0.18666289     
0.52000000     1.44946161     -0.06085053    0.29156918     0.00000000     0.90946674     0.18957857     
0.53000000     1.44886074     -0.05983289    0.28912050     0.00000000     0.90183858     0.19246976     
0.54000000     1.44826992     -0.05883244    0.28669259     0.00000000     0.89427602     0.19533666     
0.55000000     1.44768898     -0.05784889    0.28428525     0.00000000     0.88677847     0.19817950     
0.56000000     1.44711775     -0.05688195    0.28189831     0.00000000     0.87934532     0.20099846     
0.57000000     1.44655607     -0.05593133    0.27953160     0.00000000     0.87197599     0.20379376     
0.58000000     1.44600377     -0.05499674    0.27718494     0.00000000     0.86466989     0.20656559     
0.59000000     1.44546070     -0.05407792    0.27485816     0.00000000     0.85742643     0.20931415     
0.60000000     1.44492670     -0.05317460    0.27255109     0.00000000     0.85024505     0.21203964     
0.61000000     1.44440162     -0.05228651    0.27026355     0.00000000     0.84312517     0.21474226     
0.62000000     1.44388531     -0.05141338    0.26799538     0.00000000     0.83606625     0.21742219     
0.63000000     1.44337762     -0.05055496    0.26574641     0.00000000     0.82906772     0.22007963     
0.64000000     1.44287841     -0.04971100    0.26351648     0.00000000     0.82212903     0.22271477     
0.65000000     1.44238753     -0.04888125    0.26130542     0.00000000     0.81524964     0.22532780     
0.66000000     1.44190485     -0.04806547    0.25911307     0.00000000     0.80842902     0.22791890     
0.67000000     1.44143021     -0.04726342    0.25693926     0.00000000     0.80166662     0.23048827     
0.68000000     1.44096350     -0.04647487    0.25478385     0.00000000     0.79496193     0.23303608     
0.69000000     1.44050457     -0.04569957    0.25264666     0.00000000     0.78831443     0.23556252     
0.70000000     1.44005330     -0.04493732    0.25052755     0.00000000     0.78172359     0.23806777     
0.71000000     1.43960956     -0.04418788    0.24842636     0.00000000     0.77518892     0.24055200     
0.72000000     1.43917321     -0.04345103    0.24634293     0.00000000     0.76870989     0.24301540     
0.73000000     1.43874414     -0.04272657    0.24427711     0.00000000     0.76228602     0.24545814     
0.74000000     1.43832223     -0.04201427    0.24222875     0.00000000     0.75591681     0.24788040     
0.75000000     1.43790735     -0.04131394    0.24019770     0.00000000     0.74960177     0.25028234     
0.76000000     1.43749938     -0.04062537    0.23818382     0.00000000     0.74334041     0.25266414     
0.77000000     1.43709821     -0.03994836    0.23618694     0.00000000     0.73713225     0.25502598     
0.78000000     1.43670373     -0.03928271    0.23420694     0.00000000     0.73097683     0.25736801     
0.79000000     1.43631582     -0.03862823    0.23224366     0.00000000     0.72487367     0.25969041     
0.80000000     1.43593437     -0.03798473    0.23029696     0.00000000     0.71882230     0.26199334     
0.81000000     1.43555927     -0.03735202    0.22836670     0.00000000     0.71282227     0.26427697     
0.82000000     1.43519043     -0.03672992    0.22645273     0.00000000     0.70687312     0.26654146     
0.83000000     1.43482772     -0.03611825    0.22455492     0.00000000     0.70097439     0.26878697     
0.84000000     1.43447106     -0.03551683    0.22267314     0.00000000     0.69512564     0.27101366     
0.85000000     1.43412034     -0.03492550    0.22080723     0.00000000     0.68932643     0.27322169     
0.86000000     1.43377545     -0.03434406    0.21895707     0.00000000     0.68357632     0.27541122     
0.87000000     1.43343631     -0.03377237    0.21712252     0.00000000     0.67787487     0.27758240     
0.88000000     1.43310281     -0.03321025    0.21530345     0.00000000     0.67222166     0.27973539     
0.89000000     1.43277486     -0.03265755    0.21349972     0.00000000     0.66661626     0.28187034     
0.90000000     1.43245237     -0.03211409    0.21171121     0.00000000     0.66105825     0.28398740     
0.91000000     1.43213524     -0.03157974    0.20993778     0.00000000     0.65554722     0.28608673     
0.92000000     1.43182339     -0.03105432    0.20817931     0.00000000     0.65008274     0.28816848     
0.93000000     1.43151674     -0.03053770    0.20643566     0.00000000     0.64466441     0.29023279     
0.94000000     1.43121518     -0.03002972    0.20470672     0.00000000     0.63929183     0.29227980     
0.95000000     1.43091863     -0.02953023    0.20299234     0.00000000     0.63396459     0.29430967     
0.96000000     1.43062702     -0.02903910    0.20129242     0.00000000     0.62868230     0.29632254     
0.97000000     1.43034026     -0.02855618    0.19960683     0.00000000     0.62344457     0.29831856     
0.98000000     1.43005827     -0.02808133    0.19793544     0.00000000     0.61825099     0.30029786     
0.99000000     1.42978097     -0.02761442    0.19627814     0.00000000     0.61310120     0.30226058     
1.00000000     1.42950828     -0.02715532    0.19463480     0.00000000     0.60799481     0.30420688     
1.01000000     1.42924012     -0.02670388    0.19300530     0.00000000     0.60293143     0.30613687     
1.02000000     1.42897642     -0.02625999    0.19138953     0.00000000     0.59791070     0.30805071     
1.03000000     1.42871710     -0.02582350    0.18978737     0.00000000     0.59293224     0.30994852     
1.04000000     1.42846210     -0.02539431    0.18819870     0.00000000     0.58799568     0.31183045     
1.05000000     1.42821133     -0.02497229    0.18662341     0.00000000     0.58310066     0.31369662     
1.06000000     1.42796473     -0.02455731    0.18506138     0.00000000     0.57824683     0.31554717     
1.07000000     1.42772222     -0.02414926    0.18351251     0.00000000     0.57343381     0.31738224     
1.08000000     1.42748375     -0.02374802    0.18197667     0.00000000     0.56866127     0.31920194     
1.09000000     1.42724924     -0.02335348    0.18045377     0.00000000     0.56392884     0.32100641     
1.10000000     1.42701862     -0.02296552    0.17894368     0.00000000     0.55923618     0.32279578     
1.11000000     1.42679184     -0.02258403    0.17744630     0.00000000     0.55458295     0.32457018     
