# delta = 1.000, g = 0.500, generator = white          
# ====================================================================================
#    s              E            dE/ds        ||eta2B||      ||fod||       ||Gammaod||    
# ====================================================================================

0.41000000     1.45695455     -0.07296839    0.31792200     0.00000000     0.99919665     
0.41500000     1.45659094     -0.07235667    0.31658806     0.00000000     0.99500181     
0.42000000     1.45623037     -0.07175013    0.31525978     0.00000000     0.99082513     
0.42500000     1.45587282     -0.07114874    0.31393714     0.00000000     0.98666651     
0.43000000     1.45551827     -0.07055246    0.31262010     0.00000000     0.98252588     
0.43500000     1.45516670     -0.06996123    0.31130864     0.00000000     0.97840315     
0.44000000     1.45481806     -0.06937501    0.31000275     0.00000000     0.97429824     
0.44500000     1.45447235     -0.06879377    0.30870239     0.00000000     0.97021105     
0.45000000     1.45412954     -0.06821745    0.30740754     0.00000000     0.96614152     
0.45500000     1.45378960     -0.06764601    0.30611818     0.00000000     0.96208956     
0.46000000     1.45345250     -0.06707942    0.30483428     0.00000000     0.95805508     
0.46500000     1.45311823     -0.06651763    0.30355582     0.00000000     0.95403801     
0.47000000     1.45278676     -0.06596060    0.30228278     0.00000000     0.95003825     
0.47500000     1.45245806     -0.06540829    0.30101513     0.00000000     0.94605574     
0.48000000     1.45213212     -0.06486065    0.29975285     0.00000000     0.94209040     
0.48500000     1.45180890     -0.06431765    0.29849591     0.00000000     0.93814213     
0.49000000     1.45148839     -0.06377924    0.29724430     0.00000000     0.93421087     
0.49500000     1.45117057     -0.06324540    0.29599799     0.00000000     0.93029653     
0.50000000     1.45085540     -0.06271607    0.29475696     0.00000000     0.92639903     
0.50500000     1.45054287     -0.06219121    0.29352118     0.00000000     0.92251830     
0.51000000     1.45023296     -0.06167080    0.29229064     0.00000000     0.91865427     
0.51500000     1.44992564     -0.06115479    0.29106530     0.00000000     0.91480684     
0.52000000     1.44962089     -0.06064314    0.28984515     0.00000000     0.91097595     
0.52500000     1.44931869     -0.06013582    0.28863016     0.00000000     0.90716152     
0.53000000     1.44901902     -0.05963279    0.28742032     0.00000000     0.90336347     
0.53500000     1.44872185     -0.05913400    0.28621559     0.00000000     0.89958173     
0.54000000     1.44842717     -0.05863944    0.28501597     0.00000000     0.89581623     
0.54500000     1.44813496     -0.05814905    0.28382141     0.00000000     0.89206688     
0.55000000     1.44784519     -0.05766280    0.28263192     0.00000000     0.88833361     
0.55500000     1.44755784     -0.05718066    0.28144745     0.00000000     0.88461636     
0.56000000     1.44727289     -0.05670259    0.28026800     0.00000000     0.88091504     
0.56500000     1.44699033     -0.05622856    0.27909353     0.00000000     0.87722958     
0.57000000     1.44671013     -0.05575853    0.27792403     0.00000000     0.87355992     
0.57500000     1.44643227     -0.05529247    0.27675948     0.00000000     0.86990597     
0.58000000     1.44615673     -0.05483034    0.27559985     0.00000000     0.86626767     
0.58500000     1.44588350     -0.05437211    0.27444512     0.00000000     0.86264495     
0.59000000     1.44561255     -0.05391774    0.27329528     0.00000000     0.85903773     
0.59500000     1.44534386     -0.05346721    0.27215029     0.00000000     0.85544594     
0.60000000     1.44507742     -0.05302048    0.27101015     0.00000000     0.85186951     
0.60500000     1.44481321     -0.05257752    0.26987483     0.00000000     0.84830838     
0.61000000     1.44455120     -0.05213829    0.26874430     0.00000000     0.84476247     
0.61500000     1.44429138     -0.05170276    0.26761856     0.00000000     0.84123171     
0.62000000     1.44403373     -0.05127091    0.26649757     0.00000000     0.83771604     
0.62500000     1.44377824     -0.05084269    0.26538131     0.00000000     0.83421539     
0.63000000     1.44352487     -0.05041809    0.26426978     0.00000000     0.83072968     
0.63500000     1.44327363     -0.04999706    0.26316294     0.00000000     0.82725885     
0.64000000     1.44302448     -0.04957958    0.26206077     0.00000000     0.82380283     
0.64500000     1.44277741     -0.04916561    0.26096326     0.00000000     0.82036156     
0.65000000     1.44253240     -0.04875513    0.25987039     0.00000000     0.81693497     
0.65500000     1.44228944     -0.04834811    0.25878214     0.00000000     0.81352300     
0.66000000     1.44204851     -0.04794452    0.25769848     0.00000000     0.81012556     
0.66500000     1.44180959     -0.04754432    0.25661939     0.00000000     0.80674261     
0.67000000     1.44157266     -0.04714749    0.25554487     0.00000000     0.80337407     
0.67500000     1.44133771     -0.04675400    0.25447488     0.00000000     0.80001989     
0.68000000     1.44110473     -0.04636382    0.25340940     0.00000000     0.79667999     
0.68500000     1.44087368     -0.04597693    0.25234843     0.00000000     0.79335431     
0.69000000     1.44064457     -0.04559329    0.25129193     0.00000000     0.79004278     
0.69500000     1.44041736     -0.04521287    0.25023990     0.00000000     0.78674535     
0.70000000     1.44019205     -0.04483566    0.24919230     0.00000000     0.78346195     
0.70500000     1.43996862     -0.04446162    0.24814913     0.00000000     0.78019252     
0.71000000     1.43974706     -0.04409072    0.24711036     0.00000000     0.77693699     
0.71500000     1.43952734     -0.04372295    0.24607597     0.00000000     0.77369531     
0.72000000     1.43930946     -0.04335826    0.24504595     0.00000000     0.77046740     
0.72500000     1.43909339     -0.04299664    0.24402028     0.00000000     0.76725321     
0.73000000     1.43887913     -0.04263806    0.24299893     0.00000000     0.76405268     
0.73500000     1.43866665     -0.04228249    0.24198189     0.00000000     0.76086574     
0.74000000     1.43845594     -0.04192991    0.24096914     0.00000000     0.75769233     
0.74500000     1.43824699     -0.04158029    0.23996066     0.00000000     0.75453240     
0.75000000     1.43803979     -0.04123361    0.23895644     0.00000000     0.75138589     
0.75500000     1.43783431     -0.04088984    0.23795645     0.00000000     0.74825273     
0.76000000     1.43763054     -0.04054896    0.23696068     0.00000000     0.74513286     
0.76500000     1.43742847     -0.04021094    0.23596911     0.00000000     0.74202623     
0.77000000     1.43722809     -0.03987576    0.23498172     0.00000000     0.73893277     
0.77500000     1.43702938     -0.03954339    0.23399850     0.00000000     0.73585243     
0.78000000     1.43683232     -0.03921382    0.23301942     0.00000000     0.73278515     
0.78500000     1.43663691     -0.03888701    0.23204446     0.00000000     0.72973087     
0.79000000     1.43644312     -0.03856294    0.23107362     0.00000000     0.72668953     
0.79500000     1.43625095     -0.03824159    0.23010687     0.00000000     0.72366108     
0.80000000     1.43606038     -0.03792294    0.22914420     0.00000000     0.72064546     
0.80500000     1.43587140     -0.03760696    0.22818558     0.00000000     0.71764260     
0.81000000     1.43568399     -0.03729363    0.22723100     0.00000000     0.71465247     
0.81500000     1.43549815     -0.03698293    0.22628045     0.00000000     0.71167499     
0.82000000     1.43531385     -0.03667484    0.22533390     0.00000000     0.70871011     
0.82500000     1.43513109     -0.03636932    0.22439134     0.00000000     0.70575778     
